name	In_01	In_03	In_05	In_08	In_15	In_24	In_29	In_41	In_50	In_60
Serinicoccus marinus	0.0014	9.4e-4	0.0053	0.00183	0.00371	0	0	0.0016	0	0
Janibacter sp. DB-40	0.0066	4.9e-4	0.00162	0.00155	0.00562	5.5e-4	0	9.5e-4	0	0
Janibacter sp. CX7	4.5e-4	0	7.8e-4	4.8e-4	8.8e-4	0	0	6.8e-4	0	0
Janibacter cremeus	0.00245	0	6.1e-4	5.6e-4	0.00178	0	0	4.6e-4	0	0
Janibacter melonis	0.00127	0	0.00113	0.00119	0.00129	0	0	0.00192	0	0
Janibacter limosus	7e-4	0	8.1e-4	6.5e-4	9.7e-4	0	0	0.00114	0	0
Janibacter indicus	7.6e-4	0	0.00124	7.3e-4	9.9e-4	0	0	0.00134	0	0
Phycicoccus endophyticus	8.9e-4	0	4.6e-4	4.8e-4	7.9e-4	0	0	6.2e-4	0	0
Phycicoccus sp. HDW14	6.1e-4	0	3.8e-4	4.2e-4	7.9e-4	0	0	5.2e-4	0	0
Pedococcus dokdonensis	0.00137	0	6.7e-4	0	7.9e-4	0	0	0	0	0
Tetrasphaera sp. HKS02	7.3e-4	0	4.9e-4	3.1e-4	5e-4	0	0	0	0	0
Intrasporangium calvum	5.4e-4	0	4.1e-4	3.1e-4	9.4e-4	0	0	0	0	0
Arsenicicoccus sp. oral taxon 190	4.8e-4	0	6.1e-4	4e-4	7.3e-4	0	0	5.5e-4	0	0
Cellulomonas sp. ATA003	0.0022	0	0.00093000000000000005	8.2e-4	9.1e-4	0	7.1e-4	3.9e-4	0	0
Cellulomonas sp. NS3	9.6e-4	0	6.4e-4	4.8e-4	6.7e-4	0	0	6.8e-4	0	0
Cellulomonas sp. Y8	0.00102	0	4.9e-4	0	6.4e-4	0	0	4.6e-4	0	0
Cellulomonas sp. ES6	7.6e-4	0	0	0	6.7e-4	0	0	0	0	0
Cellulomonas sp. H30R-01	5.7e-4	0	0	0	0	0	0	0	0	0
Cellulomonas sp. S1-8	4.1e-4	0	4.1e-4	0	4.7e-4	0	0	0	0	0
