name	In_01	In_03	In_05	In_08	In_15	In_24	In_29	In_41	In_50	In_60
Capillimicrobium parvum	0.00175	0	0	4.5e-4	4.1e-4	0	0	0	0	0
Paraconexibacter antarcticus	0.00105	0	0	0	0	0	0	0	0	0
Miltoncostaea oceani	4.8e-4	0	0	0	0	0	0	0	0	0
Rubrobacter tropicus	0.00131	0	0	3.7e-4	0	0	0	0	0	0
Rubrobacter xylanophilus	0.00115	0	0	0	0	0	0	0	0	0
Rubrobacter marinus	8.3e-4	0	4.9e-4	0	0	0	0	0	0	0
Iamia sp. SCSIO 61187	7.3e-4	0	4.1e-4	4e-4	0.00111	0	0	4.2e-4	0	0
Iamia majanohamensis	3.8e-4	0	0	0	5.8e-4	0	0	0	0	0
Actinomarinicola tropica	8.6e-4	0	0.0011	6.2e-4	0.00175	0	0	5.5e-4	0	0
Aquihabitans sp. G128	5.1e-4	0	0	4.2e-4	9.9e-4	0	0	5.2e-4	0	0
Dermatobacter hominis	4.1e-4	0	0	0	6.7e-4	0	0	0	0	0
Mesobacillus jeotgali	0.00395	0	0.00127	0.00217	0.01451	0	0	8.5e-4	0	0
Mesobacillus sp. S13	5.1e-4	0	0	0	9.1e-4	0	0	0	0	0
Mesobacillus sp. AQ2	4.8e-4	0	0	0	7e-4	0	0	0	0	0
Mesobacillus subterraneus	5.4e-4	0	0	0	0	0	0	0	0	0
Mesobacillus foraminis	4.5e-4	0	0	0	0	0	0	0	0	0
Bacillus sp. Y1	0.00153	0	0	0	0	0	0	0	0	0
Neobacillus sp. DY30	0.00169	0	0	0	0	0	0	0	0	0
Neobacillus sp. YX16	8.6e-4	0	0	0	0	0	0	0	0	0
Neobacillus sp. Marseille-Q6967	5.1e-4	0	0	0	0	0	0	0	0	0
Priestia megaterium	0.00229	0	0.00162	9.6e-4	0.0014	0	0	0	0	0
Priestia filamentosa	5.4e-4	0	3.8e-4	0	2.9e-4	0	0	0	0	0
Cytobacillus firmus	0.00159	0	0	0	0.00105	0	0	0	0	0
Domibacillus sp. DTU_2020_1001157_1_SI_ALB_TIR_016	0.00198	0	0	4.2e-4	0	0	0	0	0	0
Metabacillus sp. KUDC1714	0.00115	0	0	0	0	0	0	0	0	0
Fictibacillus arsenicus	6.4e-4	0	0	0	0.00173	0	0	0	0	0
Planococcus plakortidis	0.00596	7.8e-4	0.00263	0.00127	0.00725	0	0	0	0	0
Planococcus sp. 107-1	0.00175	0	0	7.1e-4	9.7e-4	0	0	0	0	0
Planococcus sp. MB-3u-03	0.00156	0	0.0022	7.9e-4	0.00202	0	0	0	0	0
Planococcus sp. N056	0.00108	0	0	0	5e-4	0	0	0	0	0
Planococcus sp. N022	3.8e-4	0	0	0	0	0	0	0	0	0
Planococcus halotolerans	0.00417	0	4.1e-4	5.4e-4	0.00216	0	0	0	0	0
Planococcus rifietoensis	0.00255	0	0.00124	0	0.00135	0	0	0	0	0
Planococcus glaciei	0.00182	0	0	3.7e-4	7.6e-4	0	0	0	0	0
Planococcus maritimus	8.3e-4	0	3.2e-4	0	5.3e-4	0	0	0	0	0
Planococcus massiliensis	5.4e-4	0	0	0	0	0	0	0	0	0
Solibacillus silvestris	5.1e-4	0	9.5e-4	0	5e-4	0	0	0	0	0
Salinicoccus halodurans	0.00153	5.2e-4	0.00234	6.2e-4	0.00111	0	0	0	0	0
Exiguobacterium mexicanum	0.00163	0.00328	0.02052	0.00542	0.01644	0	0.00175	0.00496	0.00178	0
Exiguobacterium aurantiacum	4.5e-4	0.00107	0.00579	0.00214	0.00407	0	7.5e-4	0.00121	0	0
Novibacillus thermophilus	4.1e-4	0	0	0	0	0	0	0	0	0
Desemzia incerta	0.00115	0.00523	0.00587	0.00155	0.00506	0	0	0	0	0
Clostridium botulinum	0.02661	0.11807	0.01126	0.07008	0.0172	0.18062	0.15024	0.03907	0.01452	0.23924
Deinococcus sp. NW-56	7e-4	0	0.0022	0.0096	0.00123	0	0.00401	0.009	0	0
Deinococcus aetherius	3.5e-4	0	0	0	0	0	0	0	0	0
Deinococcus ficus	3.5e-4	0	2.9e-4	4.8e-4	3.2e-4	0	8.3e-4	0.00287	0	0
Sphaerobacter thermophilus	4.5e-4	0	0	0	0	0	0	0	0	0
Microvirga sp. VF16	0.0044	0	5.8e-4	5.6e-4	7.9e-4	0	0	0	0	0
Microvirga sp. 17 mud 1-3	0.00147	0	0	0	0	0	0	0	0	0
Microvirga ossetica	0.00402	0	0	5.1e-4	6.7e-4	0	0	0	0	0
Microvirga terrae	0.00366	0	0	5.6e-4	9.9e-4	0	0	0	0	0
Microvirga lotononidis	0.00392	0	0	0.00093000000000000005	0.00123	0	0	0	0	0
Microvirga thermotolerans	0.00159	0	0	0	6.1e-4	0	0	0	0	0
Methylobacterium radiodurans	7.3e-4	0	0	0	0	0	0	0	0	0
Methylobacterium nodulans	4.8e-4	0	0	0	0	0	0	0	0	0
Methylobacterium aquaticum	0.00124	0	0	0	0	0	0	0	0	0
Methylobacterium tardum	0.00108	0	0	0	0	0	0	0	0	0
Methylorubrum populi	0.0021	0	0	0	0	0	0	0	8.3e-4	0
Bradyrhizobium erythrophlei	0.00309	0	0	0	0.00222	0	0	0	0	0
Rhodopseudomonas palustris	0.00121	0	0	0	0.0012	0	0	0	9.9e-4	0
Rhizobium leguminosarum	0.0015	0	0	0	0	0	0	0	0	0
Pseudorhizobium flavum	0.00159	0	0.00234	0.00203	0.00699	0	0	0.00346	0.00124	0
Pseudorhizobium banfieldiae	0.00159	0	0.00177	0.00144	0.00497	0	0	0.00209	0	0
Agrobacterium tumefaciens	8e-4	0	0	0	0	0	0	0	0	0
Neorhizobium sp. SOG26	4.5e-4	0	0	0	0	0	0	0	0	0
Sinorhizobium fredii	9.6e-4	0	0	0	0	0	0	0	0	0
Sphingomonas sp. LHG3406-1	0.00194	0	0	0	0	0	0	0.00202	0	0
Sphingomonas sp. HDW15A	7.3e-4	0	0	0	0	0	0	0	0	0
Sphingomonas glaciei	0.00147	0	0	0	0	0	0	0.00205	6.2e-4	0
Sphingomonas sediminicola	8.6e-4	0	0	0	0.00371	0	0	0	0	0
Sphingomonas sabuli	9.6e-4	0	0	0	0	0	0	0	0	0
Sphingomonas limnosediminicola	8.9e-4	0	0	0	0	0	0	0	0	0
Paracoccus sp. AK26	0.00284	0.00101	0.00344	0.00308	0.00275	0	0.00155	0.00574	0.00132	0
Paracoccus sp. MC1862	0.00242	0.00143	0.0156	0.0068	0.00755	0	0.00147	0.0037200000000000002	0.00244	0
Paracoccus sp. S3-43	0.00191	0	0.00165	0.0013	0.00252	0	0	0.0029	0.0036	0
Paracoccus sp. M09	6.7e-4	0	0.00159	0.00107	0.00117	0	8.3e-4	0.00134	0	0
Paracoccus yeei	0.00287	0	0.00567	0.00361	0.00407	0	0.00123	0.00336	0.00244	0
Paracoccus marcusii	0.00112	0	0.00101	0.00178	0.00132	0.00114	0.00218	6.5e-4	0	0
Paracoccus sanguinis	8.3e-4	0	0.0026	0.00195	0.00234	0	0	0.00179	7e-4	0
Paracoccus liaowanqingii	3.8e-4	0	3.5e-4	0	3.2e-4	0	0	6.2e-4	0	0
Paracoccus everestensis	5.1e-4	0	8.4e-4	0	7.6e-4	0	0	0	0	0
Paracoccus contaminans	4.1e-4	0	9.5e-4	0.00093000000000000005	7.3e-4	0	0	5.9e-4	0	0
Paracoccus zhejiangensis	5.7e-4	0	5.2e-4	3.7e-4	6.1e-4	0	0	0	0	0
Cereibacter sphaeroides	7e-4	0	0	3.4e-4	0	0	0	0	0.00178	0
Roseivivax marinus	9.9e-4	0	0	0	0	0	0	0	0	0
Skermanella rosea	0.00194	0	0	0	6.1e-4	0	0	0	0	0
Skermanella mucosa	7.6e-4	0	0	0	0	0	0	0	0	0
Skermanella sp. TT6	0.00198	0	0	0	0	0	0	0	0	0
Azospirillum thermophilum	0.00153	0	0	0	8.8e-4	0	0	0	7.9e-4	0
Roseomonas sp. OT10	0.00178	0	0	0	0	0	0	0	8.3e-4	0
Roseomonas fluvialis	6.1e-4	0	0	0	0	0	0	0	0	0
Roseomonas gilardii	0.00108	0	0	0	0	0	0	0	0	0
Sediminicoccus rosea	6.1e-4	0	0	0	4.1e-4	0	0	0	0	0
Pseudoroseomonas cervicalis	7e-4	0	0	0	4.7e-4	0	0	0	0	0
Rhodovastum atsumiense	3.8e-4	0	0	0	0	0	0	0	0	0
Phenylobacterium zucineum	9.2e-4	0	0	4.2e-4	0.00284	0	0	0	0.02453	0
Pseudomonas sp. MTM4	8.3e-4	0	8.4e-4	0	0.0012	0	0	0	0	0
Pseudomonas putida	0.00306	0.0023	0	0.00246	0.00152	0	0.00389	0.00228	0.00207	0
Pseudomonas oryzihabitans	8e-4	0	0	0	0	0	0	0	0	0
Stutzerimonas stutzeri	9.9e-4	0.00149	0.00185	0.00135	0.00351	5.9e-4	0.00421	0.00271	0.00223	0
Stutzerimonas frequens	0.00115	0	0.00226	0.00116	0.00497	0	0	0.00134	0	0
Lysobacter sp. TY2-98	5.7e-4	0	0	0.00141	4.7e-4	0	0	0	0	0
Lysobacter luteus	0.00131	0	0	0	0.00216	0	0	0	0	0
Stenotrophomonas maltophilia	0.00249	0	0.00122	0.00161	0.00202	0	0	0.00297	0.00132	0
Pseudoxanthomonas suwonensis	0.00163	0	0.0013	9.6e-4	0.00181	0	0	9.5e-4	0.00145	0
Escherichia coli	0.09235	0.01022	0.03082	0.0335	0.03188	0.09464	0	0	0	0
Pantoea dispersa	5.1e-4	0	0	0	3.5e-4	4.4e-4	0	4.9e-4	0	0
Acinetobacter indicus	0.0021	0.00221	0.012070000000000001	0.00652	0.01278	7e-4	0.00865	0.02729	0.00236	0.00133
Acinetobacter variabilis	0.00201	0.0012	0.00307	0.00265	0.00363	0	0.00385	0.00447	0.00885	0
Acinetobacter schindleri	0.00137	9.4e-4	0.00336	0.00291	0.00225	0.00103	0.00433	0.01151	0.00182	0
Vibrio furnissii	0.00108	0.00396	7.8e-4	0.00395	0.00132	0.0052	0.00571	0.00137	0.00165	0.01516
Massilia sp. LPB0304	0.00217	0	0	0	7e-4	0	0	0	0.00695	0
Massilia sp. REN29	0.0014	0	0	0	0	0	0	0	0.00285	0
Massilia sp. NP310	0.00172	0	0	0	0	0	0	0	0.00335	0
Massilia sp. H6	6.1e-4	0	0	0	0	0	0	0	0.00385	0
Massilia sp. WG5	7.3e-4	0	0	0	7.6e-4	0	0	0	0.00422	0
Massilia varians	0.00688	0	8.7e-4	0.00133	0.00161	0	0.00119	0.00147	0.0175	0
Massilia forsythiae	6.1e-4	0	0	0	0	0	0	0	0.00244	0
Cupriavidus taiwanensis	0.0021	0	0	0	0	0	0	0	0.00323	0
Variovorax paradoxus	0.00178	0	6.4e-4	8.2e-4	8.8e-4	0	0	7.8e-4	0.00782	0
Ramlibacter tataouinensis	0.00172	0	6.7e-4	0.00127	0.00143	0	0	7.2e-4	0.00906	0
Pontibacter pudoricolor	0.00258	0	4.6e-4	4.5e-4	0.00219	0	0	0	0	0
Pontibacter kalidii	0.00236	0	8.7e-4	7.3e-4	0.00322	0	0	0	0	0
Pontibacter russatus	0.0022	0	3.5e-4	4.2e-4	8.5e-4	0	0	0	0	0
Pontibacter actiniarum	9.2e-4	0	0	4.5e-4	8.8e-4	0	0	0	0	0
Pontibacter akesuensis	5.7e-4	0	0	0	7.6e-4	0	0	0	0	0
Pontibacter sp. SGAir0037	5.7e-4	0	0	0	4.4e-4	0	0	0	0	0
Pontibacter korlensis	4.1e-4	0	4.6e-4	0	8.2e-4	0	0	0	0	0
Rufibacter radiotolerans	3.2e-4	0	0	0	0	0	0	0	0	0
Adhaeribacter swui	4.5e-4	0	0	0	0	0	0	0	0	0
Pseudocnuella soli	0.00102	0	2.9e-4	5.6e-4	6.7e-4	0	4.8e-4	0.0031	0	0
Gemmatirosa kalamazoonensis	0.00121	0	0	4e-4	4.7e-4	0	0	0	7.4e-4	0
Archangium violaceum	0.0028	0	3.5e-4	3.1e-4	7e-4	0	0	0	0.00418	0
Archangium gephyra	0.00175	0	0	3.7e-4	6.4e-4	0	0	0	0.00269	0
Stigmatella aurantiaca	7e-4	0	0	0	0	0	0	0	0.00132	0
Cystobacter fuscus	4.1e-4	0	0	0	0	0	0	0	0.00141	0
Melittangium boletus	3.5e-4	0	0	0	0	0	0	0	0.00153	0
Myxococcus stipitatus	8.6e-4	0	0	0	6.4e-4	0	0	0	0.00211	0
Myxococcus hansupus	4.8e-4	0	0	0	0	0	0	0	0.00273	0
Corallococcus coralloides	0.00105	0	5.2e-4	0	0	0	0	0	0.00381	0
Corallococcus macrosporus	7.6e-4	0	0	0	0	0	0	0	0.00778	0
Pyxidicoccus parkwaysis	0.00137	0	7.2e-4	7.6e-4	0.0014	0	0	0	0.02047	0
Anaeromyxobacter oryzae	7e-4	0	0	0	0	0	0	0	8.3e-4	0
Sorangium cellulosum	0.00233	0	8.4e-4	4e-4	0.0017	0	0	5.9e-4	0.00244	0
Polyangium aurulentum	5.1e-4	0	0	0	0.00178	0	0	0	0	0
Sandaracinus amylolyticus	4.5e-4	0	4.9e-4	0	7.3e-4	0	0	3.3e-4	0.00145	0
Nannocystis poenicansa	6.7e-4	0	0	3.4e-4	0.00152	0	0	3.3e-4	0	0
Tautonia plasticadhaerens	0.00121	0	0	0	0.00108	0	0	0	5.4e-4	0
Aquisphaera giovannonii	7e-4	0	0	0	0	0	0	0	0	0
Urbifossiella limnaea	6.7e-4	0	0	0	0	0	0	0	0	0
Planctomyces sp. SH-PL62	7.6e-4	0	0	0	0	0	0	0	0	0
Humisphaera borealis	3.5e-4	0	0	0	0	0	0	0	0	0
Luteitalea sp. TBR-22	6.7e-4	0	0	0	6.1e-4	0	0	0	4.5e-4	0
Luteitalea pratensis	5.1e-4	0	0	0	2.9e-4	0	0	0	0	0
Aspergillus luchuensis	0.00204	0	4.6e-4	0.00178	0.00146	0.00229	0.00151	0.00117	0	0
Aspergillus oryzae	7e-4	0	0	0.00183	0	0	0.00266	0	0	0
Aspergillus nidulans	6.1e-4	0	0	0	0	0	0	0	0	0
Aspergillus puulaauensis	3.5e-4	0	0	0	0	0	9.9e-4	0.00114	0	0
Penicillium oxalicum	4.8e-4	0	0	0	0	0	0	0	0	0
Ascochyta rabiei	0.00188	0	0.00107	0.00104	0.0014	4.4e-4	0	0	0	0
Cercospora beticola	4.1e-4	0	0	2.8e-4	0	0	0	0	0	0
Babesia bigemina	0.0341	0.13115	0.01192	0.09263	0.02097	0.20108	0.17743	0.04513	0.01696	0.29522
Halalkalicoccus jeotgali	7e-4	0	0	0	9.7e-4	0	0	0	0	0
Natronococcus occultus	8e-4	0	0	0	9.7e-4	0	0	0	0	0
Candidatus Nitrososphaera gargensis	4.8e-4	0	0	0	0	0	0	0	0	0
Varicellovirus bovinealpha1	0.00344	0.00613	0.00107	0.00802	0.00193	0.05073	0.02464	0.00727	6.2e-4	0.01178
Malassezia restricta	0	0.0012	0	0.00107	0	0.00313	6.3e-4	0.00101	0	0
Marasmius oreades	0	5.2e-4	0	0	0	0	0.00139	8.2e-4	0	0
Kocuria indica	0	0.00338	0.00697	0.00584	5.8e-4	0	0.00123	0.00287	0	0
Kocuria varians	0	7.5e-4	0.0013	7.9e-4	0	0	0	8.5e-4	0	0
Rothia mucilaginosa	0	5.2e-4	0	7.1e-4	3.5e-4	0	0	5.5e-4	0	0
Brevibacterium sp. CS2	0	6.8e-4	0.00156	9.9e-4	0.00114	0	0	5.5e-4	0	0
Bifidobacterium breve	0	0.00276	0	0.00838	4.4e-4	0.00822	7.5e-4	0.00183	0	0
Bifidobacterium bifidum	0	0.00243	0	0.00562	0	0.00479	0	0.00111	0	0
Bifidobacterium pseudolongum	0	0.00175	0.00156	0.00093000000000000005	7e-4	0	0	0	0	0
Bifidobacterium pseudocatenulatum	0	9.1e-4	0	0.00192	0	0.00144	0	0	0	0
Bifidobacterium catenulatum	0	9.1e-4	0	0.00124	0	8.1e-4	0	0	0	0
Corynebacterium xerosis	0	0.00133	0.007	0.00296	0.00246	0	0.00103	0.00408	0	0
Corynebacterium tuberculostearicum	0	0.00136	0	0	0	0	8.7e-4	0	0	0
Corynebacterium suedekumii	0	7.5e-4	0.00298	6.8e-4	5.3e-4	0	0	0	0	0
Mycolicibacterium doricum	0	0.00101	0	0	0	0	0	0.00267	0	0
Actinoplanes sp. L3-i22	0	6.8e-4	0	0	0	0	0	0	0.00136	0
Thermobifida fusca	0	3.6e-4	0	0	0	0	0	0	0	0
Schaalia odontolytica	0	4.9e-4	0	5.9e-4	0	0	0	0	0	0
Collinsella aerofaciens	0	0.00175	4.9e-4	0.00192	5.3e-4	0.00291	6.3e-4	9.1e-4	0	0
Parafannyhessea umbonata	0	5.2e-4	0.00217	4.2e-4	4.7e-4	0	0	5.9e-4	0	0
Blautia obeum	0	8.8e-4	8.1e-4	0	0	0	0	0	0	0
Mediterraneibacter gnavus	0	9.1e-4	0	0.00102	0	0	0	4.9e-4	0	0
Chordicoccus furentiruminis	0	6.5e-4	8.7e-4	2.8e-4	0	0	0	0	0	0
Anaerostipes hadrus	0	5.2e-4	0	6.2e-4	0	0	0	0	0	0
Agathobacter rectalis	0	6.5e-4	0.00124	0	0	0	0	0	0	0
Anaerobutyricum hallii	0	5.5e-4	4.6e-4	0	0	0	0	0	0	0
Faecalibacterium prausnitzii	0	0.00458	0.00156	0.00426	0.00114	0.00254	6.3e-4	0.00104	0	0
Vescimonas coprocola	0	4.9e-4	0	0	0	0	0	0	0	0
Flavonifractor plautii	0	3.9e-4	0	8.2e-4	0	5.9e-4	0	0	0	0
Dysosmobacter welbionis	0	5.2e-4	0	0	0	0	0	0	0	0
Romboutsia sp. 13368	0	8.8e-4	0.00113	8.2e-4	0.00161	0	0	0	0	0
Romboutsia ilealis	0	6.2e-4	0.00139	5.4e-4	0.00135	0	0	0	0	0
Staphylococcus hominis	0	0.00454	9e-4	0.00135	7.3e-4	0	0.00242	0.00114	0	0
Staphylococcus epidermidis	0	0.00179	0	0.00127	0	0	6e-4	5.5e-4	0	0
Staphylococcus saprophyticus	0	6.2e-4	0	0	0	0	0	4.6e-4	0	0
Staphylococcus capitis	0	6.5e-4	0	0	0	0	0	0	0	0
Priestia flexa	0	0.0011	0	0	5e-4	0	0	0	0	0
Pradoshia sp. D12	0	4.5e-4	0	0	0	0	0	0	0	0
Exiguobacterium profundum	0	0.00107	0.00376	0.00144	0.00512	0	0	0.00117	0	0
Jeotgalibacillus malaysiensis	0	3.2e-4	8.4e-4	2.8e-4	7.6e-4	0	0	0	0	0
Gemella haemolysans	0	5.2e-4	0	0	0	0	0	0	0	0
Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006	0	6.2e-4	0	0	0	0	0	0	0	0
Streptococcus mitis	0	0.00198	0	0	0	0	0	0	0	0
Streptococcus pneumoniae	0	9.7e-4	0	0	0	0	0	0	0	0
Streptococcus equinus	0	9.7e-4	0.00191	0	5.6e-4	0	0	0	0	0
Streptococcus salivarius	0	7.1e-4	6.1e-4	0	0	0	0.00115	0	0	0
Lactococcus cremoris	0	7.1e-4	0	0	0	7.4e-4	0.0029	3.6e-4	0	0
Aerococcus urinaeequi	0	0.00516	0.00425	0.00144	0.00146	0	9.5e-4	7.8e-4	0	0
Aerococcus viridans	0	0.00195	0.0013	5.1e-4	6.4e-4	0	0	0	0	0
Globicatella sp. PHS-GS-PNBC-21-1553	0	4.9e-4	0.00425	9.6e-4	4.4e-4	0	0	0	0	0
Lactobacillus crispatus	0	7.1e-4	0	6.2e-4	0	0	0	0	0	0
Lactobacillus iners	0	5.5e-4	0	0	0	0	0	0	0	0
Weissella confusa	0	3.9e-4	0.00122	5.4e-4	8.2e-4	0	8.3e-4	7.8e-4	0	0
Veillonella rogosae	0	8.8e-4	0	0	0	0	0	0	0	0
Megasphaera massiliensis	0	5.2e-4	0	5.9e-4	0	0	0	0	0	0
Moraxella osloensis	0	0.00143	6.4e-4	0.00257	0	5.9e-4	0.00393	0.02716	0	0
Halomonas tianxiuensis	0	0.00107	0	0	0	0	0	0	0	0
Haemophilus parainfluenzae	0	0.00162	0	0	0	0	0	0	0	0
Cellvibrio sp. KY-GH-1	0	5.5e-4	0	0	0	9.2e-4	5.6e-4	0.00101	0	0
Brevundimonas sp. MF30-B	0	0.00179	0	0	9.1e-4	0	0	0	5e-4	0
Prevotella melaninogenica	0	0.00276	0	0	0	0	0	0	0	0
Prevotella sp. oral taxon 299	0	5.5e-4	0	0	0	0	0	0	0	0
Segatella copri	0	0.00263	0.00226	0.00299	0.00164	8.5e-4	0.00179	0.0017	0	0
Bacteroides fragilis	0	0.00153	0	0.00212	0	0.01198	0	0	0	0
Alistipes finegoldii	0	7.8e-4	0	0	0	0	0	0	0	0
Alkaliflexus sp. Ai-910	0	5.8e-4	0	0	0	0	0	0	0	0
Methanosarcina mazei	0	4.2e-4	0	0	5.8e-4	0	0	0	0	0
Methanosarcina thermophila	0	3.6e-4	0	0	0	0	0	0	0	0
Methanobrevibacter sp. YE315	0	7.8e-4	0.0013	5.4e-4	9.1e-4	0	0	3.9e-4	0	0
Methanobrevibacter olleyae	0	6.2e-4	8.4e-4	0	5e-4	0	0	0	0	0
Methanobrevibacter millerae	0	5.5e-4	0.00122	4.2e-4	3.8e-4	0	0	0	0	0
Methanobrevibacter ruminantium	0	5.2e-4	5.8e-4	3.1e-4	3.8e-4	0	0	0	0	0
Micrococcus yunnanensis	0	0	0.00269	0	0	0	0	0	0	0
Microbacterium aurum	0	0	0.00116	0	6.7e-4	0	0	0.00121	0	0
Microbacterium esteraromaticum	0	0	8.1e-4	0	9.9e-4	0	0	0	0	0
Microbacterium protaetiae	0	0	5.2e-4	0	5e-4	0	0	0	0	0
Leucobacter tenebrionis	0	0	5.2e-4	0	5e-4	0	0	0	0	0
Gulosibacter sediminis	0	0	5.5e-4	0	0	0	0	0	0	0
Brachybacterium sp. NBEC-018	0	0	0.00136	0	0	0	0	0	0	0
Brachybacterium huguangmaarense	0	0	9.5e-4	3.7e-4	5e-4	0	0	4.6e-4	0	0
Brachybacterium halotolerans	0	0	8.1e-4	0	0	0	0	0	0	0
Cellulomonas sp. JZ18	0	0	6.1e-4	0	0.00111	0	0	5.2e-4	0	0
Cellulomonas fengjieae	0	0	4.9e-4	0	3.5e-4	0	0	0	0	0
Cellulomonas gilvus	0	0	4.3e-4	0	6.1e-4	0	0	0	0.00178	0
Cellulomonas iranensis	0	0	3.8e-4	0	0	0	0	0	0	0
Cellulomonas wangleii	0	0	4.3e-4	0	7.6e-4	0	0	0	0	0
Cellulomonas wangsupingiae	0	0	4.3e-4	0	4.7e-4	0	0	0	0	0
Paraoerskovia marina	0	0	4.1e-4	0	0	0	0	0	0	0
Pseudactinotalea sp. HY158	0	0	4.1e-4	0	0	0	0	0	0	0
Janibacter sp. YB324	0	0	7.8e-4	0	0	0	0	0	0	0
Brevibacterium luteolum	0	0	4.9e-4	0	0	0	0	0	0	0
Brevibacterium casei	0	0	8.7e-4	7.6e-4	0	0	0	0.00127	0	0
Isoptericola sp. AK164	0	0	5.2e-4	0	3.8e-4	0	0	0	0	0
Isoptericola dokdonensis	0	0	3.8e-4	0	3.8e-4	0	0	4.2e-4	0	0
Xylanimonas allomyrinae	0	0	4.1e-4	0	0	0	0	0	0	0
Dermacoccus nishinomiyaensis	0	0	5.5e-4	6.5e-4	0	5.5e-4	0	8.5e-4	0	0
Luteipulveratus mongoliensis	0	0	3.5e-4	0	0	0	0	0	0	0
Ruania zhangjianzhongii	0	0	4.9e-4	0	3.2e-4	0	0	0	0	0
Occultella kanbiaonis	0	0	4.1e-4	0	3.5e-4	0	0	0	0	0
Jonesia denitrificans	0	0	0.00122	0	5.3e-4	0	0	7.2e-4	0	0
Gephyromycinifex aptenodytis	0	0	5.5e-4	2.8e-4	4.1e-4	0	0	0	0	0
Sanguibacter sp. HDW7	0	0	4.9e-4	0	3.5e-4	0	0	3.6e-4	7e-4	0
Beutenbergia cavernae	0	0	4.6e-4	0	2.9e-4	0	0	0	0	0
Miniimonas sp. S16	0	0	5.2e-4	0	0	0	0	7.2e-4	0	0
Demequina sediminis	0	0	4.6e-4	0	5.6e-4	0	0	0.00153	0	0
Luteimicrobium xylanilyticum	0	0	3.2e-4	0	4.4e-4	0	0	0	0	0
Corynebacterium sp. SCR221107	0	0	0.002	7.1e-4	5.8e-4	0	0	0.00261	0	0
Corynebacterium faecale	0	0	0.00203	5.6e-4	0	0	0	0	0	0
Corynebacterium hansenii	0	0	0.00145	7.6e-4	3.5e-4	0	0	5.9e-4	0	0
Corynebacterium freneyi	0	0	0.00139	5.9e-4	9.1e-4	0	0	5.2e-4	0	0
Corynebacterium comes	0	0	0.00104	0	0	0	0	0	0	0
Corynebacterium marinum	0	0	0.00107	4e-4	7e-4	0	0	0	0	0
Corynebacterium glutamicum	0	0	0.00437	0	0	0	0	0	0	0
Corynebacterium guangdongense	0	0	4.3e-4	5.1e-4	0	0	0	0	0	0
Corynebacterium variabile	0	0	5.5e-4	0	0	0	0	0.00101	0	0
Corynebacterium striatum	0	0	5.5e-4	0	0	0	0	0	0	0
Corynebacterium occultum	0	0	3.8e-4	0	0	0	0	0	0	0
Corynebacterium doosanense	0	0	4.3e-4	0	0	0	0	0	0	0
Corynebacterium frankenforstense	0	0	3.2e-4	0	0	0	0	0	0	0
Dietzia psychralcaliphila	0	0	5.2e-4	0	5e-4	0	0	0	0	0
Mycolicibacterium duvalii	0	0	0.00136	0	0.00222	0	0	0	0	0
Mycolicibacterium neoaurum	0	0	0.00119	0	3.8e-4	0	0	0	0	0
Nocardia tengchongensis	0	0	4.1e-4	0	0	0	0	0	0	0
Aeromicrobium marinum	0	0	3.2e-4	0	0	0	0	0	0	0
Micropruina glycogenica	0	0	5.8e-4	6.8e-4	4.1e-4	0	0	5.5e-4	0	0
Tessaracoccus sp. T21	0	0	8.7e-4	0	7.3e-4	0	0	0.00258	0	0
Tessaracoccus defluvii	0	0	0.00119	4.5e-4	0.00117	0	0	0.0013	0	0
Tessaracoccus flavescens	0	0	0.00119	0	9.4e-4	0	0	7.2e-4	0.0018600000000000001	0
Tessaracoccus aquimaris	0	0	6.4e-4	5.6e-4	3.8e-4	0	0	6.5e-4	0	0
Tessaracoccus palaemonis	0	0	7.5e-4	0	0	0	0	0	0	0
Propioniciclava coleopterorum	0	0	0.00177	0.00124	0.00167	0	0	0.00274	0	0
Microlunatus soli	0	0	3.8e-4	0	0	0	0	0	0	0
Propionibacterium australiense	0	0	6.7e-4	0	0	0	0	0	0	0
Raineyella sp. LH-20	0	0	5.5e-4	0	7e-4	0	0	4.2e-4	0	0
Brooklawnia sp. SH051	0	0	5.2e-4	3.7e-4	0.0024	0	0	8.5e-4	0	0
Arachnia propionica	0	0	3.2e-4	0	0	0	0	4.9e-4	0	0
Streptomyces olivoreticuli	0	0	0.00208	0	0	0	0	0	0	0
Actinokineospora sp. UTMC 2448	0	0	9e-4	0	0	0	0	0	0	0
Actinomyces sp. Z16	0	0	0.00119	0	0	0	0	0	0	0
Actinomyces radicidentis	0	0	9.5e-4	0	0	0	0	0	0	0
Flaviflexus ciconiae	0	0	4.1e-4	0	0	0	0	0	0	0
Nocardiopsis alba	0	0	0.00113	0	0.00111	0	0	0	0	0
Miltoncostaea marina	0	0	4.1e-4	0	4.7e-4	0	0	0	0	0
Egicoccus halophilus	0	0	5.8e-4	0	4.4e-4	0	0	0	0.00265	0
Exiguobacterium alkaliphilum	0	0	0.00428	0.00135	0.00132	0	0	4.2e-4	0	0
Exiguobacterium sp. AT1b	0	0	0.00185	4.5e-4	0.00342	0	0	0	0	0
Exiguobacterium sp. PFWT01	0	0	0.00133	5.1e-4	0.00231	0	0	0	0	0
