name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Kocuria flava	446860	S	1575	459	2034	0.06482
Kocuria rosea	1275	S	1205	187	1392	0.04436
Kocuria turfanensis	388357	S	347	68	415	0.01323
Kocuria palustris	71999	S	29	8	37	0.00118
Kocuria sp. KD4	2719588	S	16	10	26	0.00083
Kocuria rhizophila	72000	S	12	9	21	0.00067
Arthrobacter sp. QXT-31	1357915	S	65	29	94	0.00300
Arthrobacter sp. NEB 688	904039	S	23	6	29	0.00092
Arthrobacter sp. FW305-BF8	2879617	S	15	6	21	0.00067
Arthrobacter sp. CDRTa11	2651199	S	14	2	16	0.00051
Arthrobacter sp. 24S4-2	2575374	S	13	6	19	0.00061
Arthrobacter sp. NicSoilC5	2831000	S	13	34	47	0.00150
Arthrobacter sp. PGP41	2079227	S	12	7	19	0.00061
Arthrobacter sp. FB24	290399	S	11	10	21	0.00067
Arthrobacter sp. NicSoilB8	2830998	S	11	5	16	0.00051
Arthrobacter sp. Helios	2828862	S	11	5	16	0.00051
Arthrobacter sp. zg-Y820	2894192	S	10	11	21	0.00067
Arthrobacter sp. UKPF54-2	2600159	S	10	11	21	0.00067
Arthrobacter crystallopoietes	37928	S	50	11	61	0.00194
Arthrobacter sulfonylureivorans	2486855	S	17	2	19	0.00061
Arthrobacter agilis	37921	S	15	3	18	0.00057
Pseudarthrobacter sp. L1SW	2851598	S	27	19	46	0.00147
Pseudarthrobacter sp. NS4	2973976	S	22	8	30	0.00096
Pseudarthrobacter phenanthrenivorans	361575	S	98	53	151	0.00481
Pseudarthrobacter equi	728066	S	15	5	20	0.00064
Pseudarthrobacter chlorophenolicus	85085	S	13	3	16	0.00051
Pseudarthrobacter oxydans	1671	S	10	4	14	0.00045
Citricoccus sp. SGAir0253	2567881	S	118	22	140	0.00446
Citricoccus sp. I39-566	3073268	S	63	26	89	0.00284
Micrococcus terreus	574650	S	20	5	25	0.00080
Micrococcus lylae	1273	S	19	4	23	0.00073
Micrococcus luteus	1270	S	15	44	59	0.00188
Micrococcus porci	2856555	S	15	8	23	0.00073
Glutamicibacter creatinolyticus	162496	S	14	1	15	0.00048
Glutamicibacter nicotianae	37929	S	12	30	42	0.00134
Rothia kristinae	37923	S	10	4	14	0.00045
Sinomonas atrocyanea	37927	S	10	2	12	0.00038
Microbacterium sp. nov. GSS16	3019890	S	12	17	29	0.00092
Microbacterium sp. YJN-G	2763257	S	10	19	29	0.00092
Microbacterium oryzae	743009	S	33	11	44	0.00140
Microbacterium atlanticum	2782168	S	19	5	24	0.00076
Microbacterium testaceum	2033	S	16	6	22	0.00070
Microbacterium hominis	162426	S	11	77	88	0.00280
Microbacterium oxydans	82380	S	10	21	31	0.00099
Agrococcus sp. Marseille-Q4369	2810513	S	69	26	95	0.00303
Agrococcus sp. SCSIO52902	2933290	S	26	14	40	0.00127
Agrococcus sp. SL85	2995141	S	21	10	31	0.00099
Agrococcus sp. REN33	3068634	S	18	12	30	0.00096
Agrococcus carbonis	684552	S	33	19	52	0.00166
Agromyces sp. LHK192	2498704	S	11	5	16	0.00051
Agromyces flavus	589382	S	13	6	19	0.00061
Agromyces protaetiae	2509455	S	13	5	18	0.00057
Agromyces aureus	453304	S	10	5	15	0.00048
Cnuibacter physcomitrellae	1619308	S	14	5	19	0.00061
Naasia aerilata	1162966	S	14	4	18	0.00057
Ornithinimicrobium flavum	1288636	S	143	42	185	0.00590
Ornithinimicrobium sp. HY006	2508882	S	82	26	108	0.00344
Ornithinimicrobium sp. HY1793	2934158	S	18	2	20	0.00064
Ornithinimicrobium avium	2283195	S	99	18	117	0.00373
Ornithinimicrobium pratense	2593973	S	43	11	54	0.00172
Ornithinimicrobium cryptoxanthini	2934161	S	23	3	26	0.00083
Ornithinimicrobium ciconiae	2594265	S	16	2	18	0.00057
Serinicoccus chungangensis	767452	S	46	12	58	0.00185
Serinicoccus profundi	1078471	S	44	12	56	0.00178
Serinicoccus hydrothermalis	1758689	S	32	14	46	0.00147
Serinicoccus marinus	247333	S	30	14	44	0.00140
Janibacter sp. DB-40	3028808	S	164	43	207	0.00660
Janibacter sp. CX7	2963431	S	11	3	14	0.00045
Janibacter cremeus	1285192	S	61	16	77	0.00245
Janibacter melonis	262209	S	33	7	40	0.00127
Janibacter limosus	53458	S	19	3	22	0.00070
Janibacter indicus	857417	S	12	12	24	0.00076
Phycicoccus endophyticus	1690220	S	24	4	28	0.00089
Phycicoccus sp. HDW14	2714941	S	15	4	19	0.00061
Pedococcus dokdonensis	443156	S	36	7	43	0.00137
Tetrasphaera sp. HKS02	1813880	S	20	3	23	0.00073
Intrasporangium calvum	53358	S	15	2	17	0.00054
Arsenicicoccus sp. oral taxon 190	1658671	S	12	3	15	0.00048
Cellulomonas sp. ATA003	3073064	S	56	13	69	0.00220
Cellulomonas sp. NS3	2973977	S	24	6	30	0.00096
Cellulomonas sp. Y8	2591145	S	23	9	32	0.00102
Cellulomonas sp. ES6	3039384	S	11	13	24	0.00076
Cellulomonas sp. H30R-01	2704467	S	10	8	18	0.00057
Cellulomonas sp. S1-8	2904790	S	10	3	13	0.00041
Cellulomonas fimi	1708	S	21	13	34	0.00108
Cellulomonas flavigena	1711	S	17	7	24	0.00076
Cellulomonas xiejunii	2968083	S	13	7	20	0.00064
Cellulomonas shaoxiangyii	2566013	S	11	4	15	0.00048
Actinotalea sp. JY-7876	2758442	S	20	6	26	0.00083
Brachybacterium sp. GU-2	3069708	S	99	90	189	0.00602
Brachybacterium sp. Z12	2759167	S	23	4	27	0.00086
Brachybacterium sp. P6-10-X1	1903186	S	15	1	16	0.00051
Brachybacterium saurashtrense	556288	S	17	3	20	0.00064
Brachybacterium ginsengisoli	1331682	S	17	4	21	0.00067
Brachybacterium faecium	43669	S	14	3	17	0.00054
Brachybacterium vulturis	2017484	S	12	3	15	0.00048
Brachybacterium avium	2017485	S	10	2	12	0.00038
Georgenia wutianyii	2585135	S	46	11	57	0.00182
Georgenia faecalis	2483799	S	24	4	28	0.00089
Georgenia sp. TF02-10	2917725	S	22	9	31	0.00099
Georgenia yuyongxinii	2589797	S	19	3	22	0.00070
Cellulosimicrobium cellulans	1710	S	28	23	51	0.00163
Cellulosimicrobium protaetiae	2587808	S	12	3	15	0.00048
Isoptericola variabilis	139208	S	15	4	19	0.00061
Barrientosiimonas endolithica	1535208	S	16	9	25	0.00080
Sanguibacter keddieii	60920	S	12	2	14	0.00045
Pengzhenrongella sicca	2819238	S	10	1	11	0.00035
Kytococcus sedentarius	1276	S	10	2	12	0.00038
Nocardioides sp. zg-1228	2763008	S	115	44	159	0.00507
Nocardioides sp. S5	2017486	S	105	57	162	0.00516
Nocardioides sp. S-34	3095075	S	102	35	137	0.00437
Nocardioides sp. HDW12B	2714939	S	98	26	124	0.00395
Nocardioides sp. LMS-CY	2840457	S	62	17	79	0.00252
Nocardioides sp. TF02-7	2917724	S	58	18	76	0.00242
Nocardioides sp. Arc9.136	2996826	S	55	28	83	0.00265
Nocardioides sp. W7	2931390	S	50	14	64	0.00204
Nocardioides sp. JS614	196162	S	47	68	115	0.00366
Nocardioides sp. S-1144	2582905	S	42	13	55	0.00175
Nocardioides sp. cx-173	2898796	S	41	11	52	0.00166
Nocardioides sp. CF8	110319	S	40	20	60	0.00191
Nocardioides sp. InS609-2	2760705	S	32	5	37	0.00118
Nocardioides sp. JQ2195	2592334	S	32	5	37	0.00118
Nocardioides sp. HM61	3095076	S	32	5	37	0.00118
Nocardioides sp. QY071	3044187	S	31	14	45	0.00143
Nocardioides sp. B-3	2895565	S	29	4	33	0.00105
Nocardioides sp. Kera G14	2884264	S	19	2	21	0.00067
Nocardioides sp. dk884	2662361	S	18	21	39	0.00124
Nocardioides sp. BP30	3036374	S	16	3	19	0.00061
Nocardioides mesophilus	433659	S	94	23	117	0.00373
Nocardioides panacis	2849501	S	84	21	105	0.00335
Nocardioides okcheonensis	2894081	S	74	34	108	0.00344
Nocardioides euryhalodurans	2518370	S	55	14	69	0.00220
Nocardioides marmotae	2663857	S	51	29	80	0.00255
Nocardioides rotundus	1774216	S	49	19	68	0.00217
Nocardioides scoriae	642780	S	48	15	63	0.00201
Nocardioides anomalus	2712223	S	44	11	55	0.00175
