name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Kocuria flava	446860	S	662	185	847	0.02762
Kocuria rosea	1275	S	204	30	234	0.00763
Kocuria sp. KD4	2719588	S	85	78	163	0.00532
Kocuria palustris	71999	S	55	14	69	0.00225
Kocuria turfanensis	388357	S	50	10	60	0.00196
Kocuria indica	1049583	S	40	48	88	0.00287
Kocuria rhizophila	72000	S	28	27	55	0.00179
Kocuria varians	1272	S	18	8	26	0.00085
Micrococcus luteus	1270	S	143	294	437	0.01425
Micrococcus porci	2856555	S	94	43	137	0.00447
Micrococcus terreus	574650	S	60	14	74	0.00241
Micrococcus lylae	1273	S	32	6	38	0.00124
Arthrobacter sp. NEB 688	904039	S	16	24	40	0.00130
Rothia mucilaginosa	43675	S	12	5	17	0.00055
Citricoccus sp. SGAir0253	2567881	S	13	5	18	0.00059
Microbacterium sp. nov. GSS16	3019890	S	10	21	31	0.00101
Microbacterium sp. BDGP8	3035531	S	10	47	57	0.00186
Microbacterium oleivorans	273677	S	19	21	40	0.00130
Microbacterium atlanticum	2782168	S	11	11	22	0.00072
Microbacterium aurum	36805	S	10	27	37	0.00121
Agrococcus sp. Marseille-Q4369	2810513	S	48	25	73	0.00238
Agrococcus sp. SCSIO52902	2933290	S	15	11	26	0.00085
Leucobacter aridicollis	283878	S	15	12	27	0.00088
Ornithinimicrobium flavum	1288636	S	340	79	419	0.01366
Ornithinimicrobium sp. HY006	2508882	S	61	14	75	0.00245
Ornithinimicrobium sp. HY1793	2934158	S	18	1	19	0.00062
Ornithinimicrobium avium	2283195	S	79	11	90	0.00293
Ornithinimicrobium pratense	2593973	S	37	6	43	0.00140
Ornithinimicrobium ciconiae	2594265	S	19	1	20	0.00065
Ornithinimicrobium cryptoxanthini	2934161	S	10	1	11	0.00036
Serinicoccus chungangensis	767452	S	42	9	51	0.00166
Serinicoccus marinus	247333	S	35	14	49	0.00160
Serinicoccus profundi	1078471	S	34	8	42	0.00137
Serinicoccus hydrothermalis	1758689	S	23	9	32	0.00104
Janibacter melonis	262209	S	49	10	59	0.00192
Janibacter sp. DB-40	3028808	S	21	8	29	0.00095
Janibacter sp. CX7	2963431	S	15	6	21	0.00068
Janibacter limosus	53458	S	29	6	35	0.00114
Janibacter indicus	857417	S	14	27	41	0.00134
Janibacter cremeus	1285192	S	10	4	14	0.00046
Phycicoccus endophyticus	1690220	S	16	3	19	0.00062
Phycicoccus sp. HDW14	2714941	S	13	3	16	0.00052
Arsenicicoccus sp. oral taxon 190	1658671	S	14	3	17	0.00055
Cellulomonas sp. NS3	2973977	S	17	4	21	0.00068
Cellulomonas sp. PSBB021	2003551	S	13	19	32	0.00104
Cellulomonas sp. JZ18	2654191	S	11	5	16	0.00052
Cellulomonas sp. Y8	2591145	S	10	4	14	0.00046
Cellulomonas sp. ATA003	3073064	S	10	2	12	0.00039
Actinotalea sp. JY-7876	2758442	S	11	3	14	0.00046
Brachybacterium sp. GU-2	3069708	S	53	50	103	0.00336
Brachybacterium sp. P6-10-X1	1903186	S	13	2	15	0.00049
Brachybacterium sp. Z12	2759167	S	11	2	13	0.00042
Brachybacterium faecium	43669	S	11	4	15	0.00049
Brachybacterium saurashtrense	556288	S	11	3	14	0.00046
Brachybacterium ginsengisoli	1331682	S	11	3	14	0.00046
Brachybacterium huguangmaarense	1652028	S	10	4	14	0.00046
Brachybacterium vulturis	2017484	S	10	4	14	0.00046
Brevibacterium sp. CS2	2575923	S	13	4	17	0.00055
Brevibacterium casei	33889	S	11	28	39	0.00127
Isoptericola variabilis	139208	S	11	4	15	0.00049
Isoptericola dokdonensis	372663	S	10	3	13	0.00042
Georgenia wutianyii	2585135	S	24	5	29	0.00095
Georgenia sp. TF02-10	2917725	S	16	5	21	0.00068
Georgenia yuyongxinii	2589797	S	12	1	13	0.00042
Georgenia faecalis	2483799	S	10	1	11	0.00036
Dermacoccus nishinomiyaensis	1274	S	21	5	26	0.00085
Dermacoccus sp. PAMC28757	2762331	S	12	2	14	0.00046
Demequina sediminis	1930058	S	39	8	47	0.00153
Miniimonas sp. S16	2171623	S	15	7	22	0.00072
Sanguibacter sp. HDW7	2714931	S	10	1	11	0.00036
Kytococcus sedentarius	1276	S	23	5	28	0.00091
Jonesia denitrificans	43674	S	20	2	22	0.00072
Tessaracoccus flavus	1610493	S	603	243	846	0.02759
Tessaracoccus sp. MC1865	2760310	S	21	2	23	0.00075
