name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Tessaracoccus sp. T21	3041766	S	19	60	79	0.00258
Tessaracoccus defluvii	1285901	S	28	12	40	0.00130
Tessaracoccus aquimaris	1332264	S	15	5	20	0.00065
Tessaracoccus flavescens	399497	S	14	8	22	0.00072
Propioniciclava sp. MC1595	2760308	S	380	111	491	0.01601
Propioniciclava coleopterorum	2714937	S	56	28	84	0.00274
Cutibacterium acnes	1747	S	359	42	401	0.01308
Cutibacterium granulosum	33011	S	11	1	12	0.00039
Raineyella sp. LH-20	3081204	S	10	3	13	0.00042
Acidipropionibacterium jensenii	1749	S	12	7	19	0.00062
Brooklawnia sp. SH051	3041175	S	21	5	26	0.00085
Propionibacterium acidifaciens	556499	S	10	1	11	0.00036
Arachnia propionica	1750	S	14	1	15	0.00049
Nocardioides sp. zg-1228	2763008	S	21	9	30	0.00098
Nocardioides sp. HDW12B	2714939	S	20	5	25	0.00082
Nocardioides sp. JS614	196162	S	19	26	45	0.00147
Nocardioides sp. S5	2017486	S	19	11	30	0.00098
Nocardioides sp. S-34	3095075	S	17	6	23	0.00075
Nocardioides sp. Arc9.136	2996826	S	15	9	24	0.00078
Nocardioides sp. TF02-7	2917724	S	15	5	20	0.00065
Nocardioides sp. InS609-2	2760705	S	13	2	15	0.00049
Nocardioides sp. cx-173	2898796	S	13	4	17	0.00055
Nocardioides sp. S-1144	2582905	S	12	4	16	0.00052
Nocardioides sp. B-3	2895565	S	12	2	14	0.00046
Nocardioides sp. W7	2931390	S	11	3	14	0.00046
Nocardioides sp. QY071	3044187	S	10	6	16	0.00052
Nocardioides daphniae	402297	S	42	24	66	0.00215
Nocardioides faecalis	2803858	S	22	11	33	0.00108
Nocardioides campestrisoli	2736757	S	22	8	30	0.00098
Nocardioides panacis	2849501	S	21	5	26	0.00085
Nocardioides panacisoli	627624	S	21	4	25	0.00082
Nocardioides jishulii	2575440	S	21	9	30	0.00098
Nocardioides dokdonensis	450734	S	20	13	33	0.00108
Nocardioides marmotae	2663857	S	16	11	27	0.00088
Nocardioides seonyuensis	2518371	S	16	5	21	0.00068
Nocardioides euryhalodurans	2518370	S	16	5	21	0.00068
Nocardioides okcheonensis	2894081	S	15	8	23	0.00075
Nocardioides scoriae	642780	S	15	5	20	0.00065
Nocardioides houyundeii	2045452	S	14	4	18	0.00059
Nocardioides coralli	2872154	S	14	3	17	0.00055
Nocardioides rotundus	1774216	S	14	5	19	0.00062
Nocardioides mesophilus	433659	S	13	3	16	0.00052
Nocardioides piscis	2714938	S	13	9	22	0.00072
Nocardioides ungokensis	1643322	S	10	3	13	0.00042
Nocardioides cynanchi	2558918	S	10	2	12	0.00039
Nocardioides marmorisolisilvae	1542737	S	10	2	12	0.00039
Nocardioides dongkuii	2760089	S	10	6	16	0.00052
Aeromicrobium sp. HA	3009077	S	10	3	13	0.00042
Aeromicrobium choanae	1736691	S	12	3	15	0.00049
Micropruina glycogenica	75385	S	16	1	17	0.00055
Pimelobacter simplex	2045	S	13	7	20	0.00065
Corynebacterium xerosis	1725	S	87	38	125	0.00408
Corynebacterium sp. SCR221107	3017361	S	67	13	80	0.00261
Corynebacterium stationis	1705	S	57	16	73	0.00238
Corynebacterium efficiens	152794	S	32	5	37	0.00121
Corynebacterium variabile	1727	S	22	9	31	0.00101
Corynebacterium hansenii	394964	S	14	4	18	0.00059
Corynebacterium freneyi	134034	S	12	4	16	0.00052
Corynebacterium urealyticum	43771	S	10	6	16	0.00052
Mycolicibacterium doricum	126673	S	27	55	82	0.00267
Rhodococcus pyridinivorans	103816	S	10	86	96	0.00313
Nocardia farcinica	37329	S	16	16	32	0.00104
Dietzia sp. oral taxon 368	712270	S	59	30	89	0.00290
Dietzia sp. B32	2915130	S	14	3	17	0.00055
Dietzia kunjamensis	322509	S	74	49	123	0.00401
Dietzia lutea	546160	S	45	11	56	0.00183
Streptomyces sp. T12	477697	S	21	151	172	0.00561
Streptomyces venezuelae	54571	S	12	89	101	0.00329
Bifidobacterium longum	216816	S	238	301	539	0.01758
Bifidobacterium breve	1685	S	48	8	56	0.00183
Bifidobacterium bifidum	1681	S	21	13	34	0.00111
Gardnerella swidsinskii	2792979	S	14	8	22	0.00072
Pseudonocardia sp. DSM 110487	2865833	S	22	14	36	0.00117
Pseudonocardia dioxanivorans	240495	S	11	11	22	0.00072
Blastococcus sp. PRF04-17	2933797	S	14	3	17	0.00055
Blastococcus saxobsidens	138336	S	12	3	15	0.00049
Geodermatophilus obscurus	1861	S	11	4	15	0.00049
Parafannyhessea umbonata	604330	S	15	3	18	0.00059
Collinsella aerofaciens	74426	S	22	6	28	0.00091
Iamia sp. SCSIO 61187	2722752	S	11	2	13	0.00042
Actinomarinicola tropica	2789776	S	14	3	17	0.00055
Aquihabitans sp. G128	2849779	S	13	3	16	0.00052
Clostridium botulinum	1491	S	1157	41	1198	0.03907
Coprococcus comes	410072	S	31	22	53	0.00173
Mediterraneibacter gnavus	33038	S	10	5	15	0.00049
[Ruminococcus] torques	33039	S	10	5	15	0.00049
Faecalibacterium prausnitzii	853	S	14	18	32	0.00104
Exiguobacterium mexicanum	340146	S	122	30	152	0.00496
Exiguobacterium aurantiacum	33987	S	29	8	37	0.00121
Exiguobacterium profundum	307643	S	21	15	36	0.00117
Exiguobacterium marinum	273528	S	16	2	18	0.00059
Exiguobacterium alkaliphilum	1428684	S	12	1	13	0.00042
Exiguobacterium acetylicum	41170	S	11	12	23	0.00075
Staphylococcus arlettae	29378	S	23	10	33	0.00108
Staphylococcus hominis	1290	S	21	14	35	0.00114
Staphylococcus succinus	61015	S	14	11	25	0.00082
Staphylococcus epidermidis	1282	S	11	6	17	0.00055
Staphylococcus saprophyticus	29385	S	10	4	14	0.00046
Macrococcus caseolyticus	69966	S	17	8	25	0.00082
Mammaliicoccus sciuri	1296	S	16	2	18	0.00059
Mesobacillus jeotgali	129985	S	11	15	26	0.00085
Streptococcus parasuis	1501662	S	64	76	140	0.00457
Lactococcus lactis	1358	S	19	57	76	0.00248
Lactococcus cremoris	1359	S	10	1	11	0.00036
Weissella confusa	1583	S	21	3	24	0.00078
Weissella paramesenteroides	1249	S	15	2	17	0.00055
Weissella cibaria	137591	S	10	1	11	0.00036
Lactiplantibacillus pentosus	1589	S	38	14	52	0.00170
Lactobacillus amylovorus	1604	S	10	7	17	0.00055
Limosilactobacillus fermentum	1613	S	13	4	17	0.00055
Aerococcus urinaeequi	51665	S	16	8	24	0.00078
Finegoldia magna	1260	S	57	16	73	0.00238
Peptoniphilus harei	54005	S	43	15	58	0.00189
Anaerococcus prevotii	33034	S	17	4	21	0.00068
Gudongella oleilytica	1582259	S	14	0	14	0.00046
Deinococcus sp. NW-56	2080419	S	263	13	276	0.00900
Deinococcus ficus	317577	S	87	1	88	0.00287
Deinococcus wulumuqiensis	980427	S	47	7	54	0.00176
Deinococcus soli (ex Cha et al. 2016)	1309411	S	19	6	25	0.00082
Acinetobacter indicus	756892	S	599	238	837	0.02729
Acinetobacter junii	40215	S	445	832	1277	0.04164
Acinetobacter sp. SCLZS86	2908637	S	101	124	225	0.00734
Acinetobacter sp. KCTC 92772	3045147	S	34	8	42	0.00137
Acinetobacter sp. WCHA45	2004644	S	26	40	66	0.00215
Acinetobacter sp. CS-2	2798861	S	21	9	30	0.00098
Acinetobacter sp. SWBY1	2079596	S	19	57	76	0.00248
Acinetobacter sp. Z1	2953738	S	13	2	15	0.00049
Acinetobacter schindleri	108981	S	239	114	353	0.01151
Acinetobacter towneri	202956	S	148	259	407	0.01327
Acinetobacter variabilis	70346	S	60	77	137	0.00447
Acinetobacter baumannii	470	S	24	386	410	0.01337
Acinetobacter johnsonii	40214	S	45	56	101	0.00329
Acinetobacter lwoffii	28090	S	16	23	39	0.00127
Acinetobacter radioresistens	40216	S	16	6	22	0.00072
Acinetobacter ursingii	108980	S	16	25	41	0.00134
Acinetobacter haemolyticus	29430	S	14	5	19	0.00062
Acinetobacter bereziniae	106648	S	10	10	20	0.00065
Moraxella osloensis	34062	S	686	147	833	0.02716
Moraxella sp. DOX410	3076087	S	22	30	52	0.00170
Psychrobacter sanguinis	861445	S	12	7	19	0.00062
Pseudomonas sp. LTJR-52	2479392	S	17	59	76	0.00248
Pseudomonas alcaligenes	43263	S	32	15	47	0.00153
Pseudomonas aeruginosa	287	S	13	123	136	0.00443
Pseudomonas mendocina	300	S	13	9	22	0.00072
Pseudomonas putida	303	S	12	58	70	0.00228
Pseudomonas fragi	296	S	11	14	25	0.00082
Pseudomonas luteola	47886	S	20	18	38	0.00124
Stutzerimonas stutzeri	316	S	47	36	83	0.00271
Stutzerimonas frequens	2968969	S	16	25	41	0.00134
Stutzerimonas balearica	74829	S	12	7	19	0.00062
Marinobacter nauticus	2743	S	17	10	27	0.00088
Lysobacter oculi	2698682	S	12	4	16	0.00052
Lysobacter capsici	435897	S	10	37	47	0.00153
Stenotrophomonas maltophilia	40324	S	26	65	91	0.00297
Pseudoxanthomonas mexicana	128785	S	46	42	88	0.00287
Pseudoxanthomonas suwonensis	314722	S	20	9	29	0.00095
Xanthomonas campestris	339	S	13	20	33	0.00108
Thermomonas sp. XSG	2771436	S	13	15	28	0.00091
Thermomonas aquatica	2202149	S	14	13	27	0.00088
Arenimonas daejeonensis	370777	S	22	4	26	0.00085
Pantoea agglomerans	549	S	23	11	34	0.00111
Pantoea sp. SOD02	2970818	S	10	3	13	0.00042
Pantoea dispersa	59814	S	11	4	15	0.00049
Rahnella inusitata	58169	S	14	6	20	0.00065
Venatoribacter cucullus	2661630	S	13	0	13	0.00042
Cellvibrio sp. KY-GH-1	2303332	S	19	12	31	0.00101
Vibrio furnissii	29494	S	30	12	42	0.00137
Rheinheimera sp. MM224	3019969	S	11	1	12	0.00039
Paracoccus sp. AK26	2589076	S	144	32	176	0.00574
Paracoccus sp. MC1862	2760307	S	104	10	114	0.00372
Paracoccus sp. S3-43	3030011	S	48	41	89	0.00290
Paracoccus sp. M09	3064531	S	27	14	41	0.00134
Paracoccus sanguinis	1545044	S	40	15	55	0.00179
Paracoccus yeei	147645	S	33	70	103	0.00336
Paracoccus liaowanqingii	2560053	S	18	1	19	0.00062
Paracoccus contaminans	1945662	S	14	4	18	0.00059
Paracoccus pantotrophus	82367	S	14	12	26	0.00085
Paracoccus stylophorae	659350	S	13	9	22	0.00072
Paracoccus alcaliphilus	34002	S	12	7	19	0.00062
Paracoccus versutus	34007	S	12	13	25	0.00082
Paracoccus aestuarii	453842	S	10	1	11	0.00036
Paracoccus marcusii	59779	S	10	10	20	0.00065
Paracoccus denitrificans	266	S	10	6	16	0.00052
Rhodobacter sp. LPB0142	1850250	S	12	14	26	0.00085
Pseudorhizobium flavum	1335061	S	58	48	106	0.00346
Pseudorhizobium banfieldiae	1125847	S	31	33	64	0.00209
Sphingomonas sp. LHG3406-1	2804617	S	16	46	62	0.00202
Sphingomonas glaciei	2938948	S	19	44	63	0.00205
Hydrogenophaga sp. NH-16	2184519	S	19	60	79	0.00258
Hydrogenophaga sp. SL48	2806347	S	19	7	26	0.00085
uncultured Hydrogenophaga sp.	199683	S	29	13	42	0.00137
Hydrogenophaga pseudoflava	47421	S	21	44	65	0.00212
Hydrogenophaga taeniospiralis	65656	S	17	7	24	0.00078
Comamonas aquatica	225991	S	107	154	261	0.00851
Acidovorax temperans	80878	S	38	97	135	0.00440
Variovorax paradoxus	34073	S	10	14	24	0.00078
Ramlibacter tataouinensis	94132	S	16	6	22	0.00072
Limnobacter sp. SAORIC-580	2732163	S	32	9	41	0.00134
Massilia varians	457921	S	27	18	45	0.00147
Pseudoduganella lutea	321985	S	10	11	21	0.00068
Aquabacterium olei	1296669	S	18	9	27	0.00088
Thauera sp. GDN1	2944810	S	47	34	81	0.00264
Thauera sp. WB-2	2897772	S	10	4	14	0.00046
Thauera humireducens	1134435	S	25	11	36	0.00117
Thauera aminoaromatica	164330	S	16	15	31	0.00101
Cloacibacterium caeni	2004710	S	1135	330	1465	0.04777
Cloacibacterium normanense	237258	S	536	200	736	0.02400
Cloacibacterium sp. TD35	2976818	S	254	38	292	0.00952
Chryseobacterium sp.	1871047	S	68	29	97	0.00316
Chryseobacterium sp. SNU WT5	2594269	S	13	3	16	0.00052
Chryseobacterium taklimakanense	536441	S	70	24	94	0.00307
Chryseobacterium manosquense	2754694	S	38	29	67	0.00218
Chryseobacterium suipulveris	2929800	S	33	13	46	0.00150
Chryseobacterium faecale	2852098	S	29	2	31	0.00101
Chryseobacterium indoltheticum	254	S	13	10	23	0.00075
Chryseobacterium indologenes	253	S	11	13	24	0.00078
Chryseobacterium turcicum	2898076	S	10	9	19	0.00062
Candidatus Kaistella beijingensis	2820270	S	16	5	21	0.00068
Kaistella jeonii	266749	S	15	2	17	0.00055
Kaistella daneshvariae	2487074	S	10	1	11	0.00036
Epilithonimonas vandammei	2487072	S	23	15	38	0.00124
Flavobacterium sp. N2820	2986834	S	60	31	91	0.00297
Flavobacterium sp. 20NA77.7	3073563	S	10	2	12	0.00039
Flavobacterium cyclinae	2895947	S	116	30	146	0.00476
Flavobacterium channae	2897181	S	100	33	133	0.00434
Flavobacterium indicum	312277	S	86	8	94	0.00307
Flavobacterium haoranii	683124	S	38	15	53	0.00173
Flavobacterium okayamense	2830782	S	20	6	26	0.00085
Flavobacterium dauae	1563479	S	15	5	20	0.00065
Flavobacterium azooxidireducens	1871076	S	13	0	13	0.00042
Bacteroides graminisolvens	477666	S	59	16	75	0.00245
Segatella copri	165179	S	40	12	52	0.00170
Prevotella corporis	28128	S	11	6	17	0.00055
Pseudocnuella soli	2502779	S	94	1	95	0.00310
Phnomibacter ginsenosidimutans	2676868	S	39	0	39	0.00127
Sorangium cellulosum	56	S	12	6	18	0.00059
Sandaracinus amylolyticus	927083	S	10	0	10	0.00033
Nannocystis poenicansa	2995304	S	10	0	10	0.00033
Sphaerochaeta associata	1129264	S	21	0	21	0.00068
uncultured Sphaerochaeta sp.	886478	S	10	0	10	0.00033
Homo sapiens	9606	S	3493	675	4168	0.13592
Aspergillus chevalieri	182096	S	65	10	75	0.00245
Aspergillus luchuensis	1069201	S	33	3	36	0.00117
Aspergillus puulaauensis	1220207	S	33	2	35	0.00114
Debaryomyces hansenii	4959	S	205	3	208	0.00678
Psilocybe cubensis	181762	S	21	7	28	0.00091
Marasmius oreades	181124	S	16	9	25	0.00082
Malassezia restricta	76775	S	22	9	31	0.00101
Babesia bigemina	5866	S	1269	115	1384	0.04513
Leishmania mexicana	5665	S	18	0	18	0.00059
Methanobrevibacter sp. YE315	1609968	S	11	1	12	0.00039
Varicellovirus bovinealpha1	3050243	S	201	22	223	0.00727
