name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Kocuria flava	446860	S	1789	496	2285	0.06683
Kocuria rosea	1275	S	932	141	1073	0.03138
Kocuria turfanensis	388357	S	141	27	168	0.00491
Kocuria palustris	71999	S	70	19	89	0.00260
Kocuria sp. KD4	2719588	S	14	10	24	0.00070
Kocuria rhizophila	72000	S	10	8	18	0.00053
Kocuria indica	1049583	S	10	10	20	0.00058
Micrococcus luteus	1270	S	129	208	337	0.00986
Micrococcus porci	2856555	S	117	52	169	0.00494
Micrococcus terreus	574650	S	72	17	89	0.00260
Micrococcus lylae	1273	S	54	11	65	0.00190
Arthrobacter sp. YC-RL1	1652545	S	18	12	30	0.00088
Arthrobacter sp. NEB 688	904039	S	17	4	21	0.00061
Arthrobacter sp. QXT-31	1357915	S	10	21	31	0.00091
Arthrobacter crystallopoietes	37928	S	18	8	26	0.00076
Arthrobacter sulfonylureivorans	2486855	S	13	4	17	0.00050
Arthrobacter agilis	37921	S	11	5	16	0.00047
Citricoccus sp. SGAir0253	2567881	S	76	14	90	0.00263
Citricoccus sp. I39-566	3073268	S	50	19	69	0.00202
Glutamicibacter nicotianae	37929	S	10	15	25	0.00073
Rothia mucilaginosa	43675	S	11	1	12	0.00035
Sinomonas atrocyanea	37927	S	12	3	15	0.00044
Ornithinimicrobium flavum	1288636	S	575	148	723	0.02115
Ornithinimicrobium avium	2283195	S	301	48	349	0.01021
Ornithinimicrobium sp. HY006	2508882	S	181	49	230	0.00673
Ornithinimicrobium sp. HY1793	2934158	S	28	2	30	0.00088
Ornithinimicrobium pratense	2593973	S	104	22	126	0.00369
Ornithinimicrobium ciconiae	2594265	S	43	5	48	0.00140
Ornithinimicrobium cryptoxanthini	2934161	S	38	4	42	0.00123
Serinicoccus chungangensis	767452	S	116	27	143	0.00418
Serinicoccus profundi	1078471	S	96	24	120	0.00351
Serinicoccus marinus	247333	S	92	35	127	0.00371
Serinicoccus hydrothermalis	1758689	S	78	29	107	0.00313
Microbacterium sp. nov. GSS16	3019890	S	41	30	71	0.00208
Microbacterium sp. A18JL241	2782166	S	17	7	24	0.00070
Microbacterium sp. YJN-G	2763257	S	13	9	22	0.00064
Microbacterium sp. KUDC0406	2909588	S	12	4	16	0.00047
Microbacterium sp.	51671	S	12	3	15	0.00044
Microbacterium sp. No. 7	1714373	S	12	8	20	0.00058
Microbacterium sp. 1S1	2606451	S	11	22	33	0.00097
Microbacterium sp. zg-B185	3049070	S	11	2	13	0.00038
Microbacterium esteraromaticum	57043	S	27	7	34	0.00099
Microbacterium hominis	162426	S	17	112	129	0.00377
Microbacterium aurum	36805	S	16	7	23	0.00067
Microbacterium sediminis	904291	S	15	12	27	0.00079
Microbacterium oryzae	743009	S	14	4	18	0.00053
Microbacterium protaetiae	2509458	S	14	3	17	0.00050
Microbacterium oxydans	82380	S	13	26	39	0.00114
Microbacterium oleivorans	273677	S	13	3	16	0.00047
Microbacterium testaceum	2033	S	11	4	15	0.00044
Microbacterium proteolyticum	1572644	S	10	5	15	0.00044
Agrococcus sp. Marseille-Q4369	2810513	S	70	29	99	0.00290
Agrococcus sp. SCSIO52902	2933290	S	26	16	42	0.00123
Agrococcus sp. SL85	2995141	S	11	5	16	0.00047
Agrococcus sp. REN33	3068634	S	10	7	17	0.00050
Agrococcus carbonis	684552	S	14	8	22	0.00064
Agromyces sp. H17E-10	2932244	S	13	8	21	0.00061
Agromyces flavus	589382	S	10	5	15	0.00044
Agromyces marinus	1389020	S	10	6	16	0.00047
Leucobacter tenebrionis	2873270	S	12	5	17	0.00050
Leucobacter allii	2932247	S	11	4	15	0.00044
Salinibacterium sp. dk2585	2603292	S	10	2	12	0.00035
Cnuibacter physcomitrellae	1619308	S	10	3	13	0.00038
Janibacter sp. DB-40	3028808	S	151	41	192	0.00562
Janibacter sp. CX7	2963431	S	22	8	30	0.00088
Janibacter cremeus	1285192	S	48	13	61	0.00178
Janibacter melonis	262209	S	37	7	44	0.00129
Janibacter limosus	53458	S	28	5	33	0.00097
Janibacter indicus	857417	S	16	18	34	0.00099
Phycicoccus endophyticus	1690220	S	23	4	27	0.00079
Phycicoccus sp. HDW14	2714941	S	22	5	27	0.00079
Intrasporangium calvum	53358	S	29	3	32	0.00094
Pedococcus dokdonensis	443156	S	23	4	27	0.00079
Arsenicicoccus sp. oral taxon 190	1658671	S	20	5	25	0.00073
Tetrasphaera sp. HKS02	1813880	S	15	2	17	0.00050
Brachybacterium sp. GU-2	3069708	S	187	154	341	0.00997
Brachybacterium sp. P6-10-X1	1903186	S	31	3	34	0.00099
Brachybacterium sp. Z12	2759167	S	23	3	26	0.00076
Brachybacterium saurashtrense	556288	S	39	8	47	0.00137
Brachybacterium ginsengisoli	1331682	S	23	5	28	0.00082
Brachybacterium faecium	43669	S	19	4	23	0.00067
Brachybacterium vulturis	2017484	S	18	4	22	0.00064
Brachybacterium avium	2017485	S	13	3	16	0.00047
Brachybacterium huguangmaarense	1652028	S	12	5	17	0.00050
Cellulomonas sp. JZ18	2654191	S	28	10	38	0.00111
Cellulomonas sp. ATA003	3073064	S	26	5	31	0.00091
Cellulomonas sp. NS3	2973977	S	19	4	23	0.00067
Cellulomonas sp. Y8	2591145	S	17	5	22	0.00064
Cellulomonas sp. S1-8	2904790	S	13	3	16	0.00047
Cellulomonas sp. ES6	3039384	S	12	11	23	0.00067
Cellulomonas fimi	1708	S	25	12	37	0.00108
Cellulomonas gilvus	11	S	16	5	21	0.00061
Cellulomonas wangleii	2816956	S	16	10	26	0.00076
Cellulomonas flavigena	1711	S	14	5	19	0.00056
Cellulomonas shaoxiangyii	2566013	S	13	4	17	0.00050
Cellulomonas taurus	2729175	S	13	2	15	0.00044
Cellulomonas palmilytica	2608402	S	10	7	17	0.00050
Cellulomonas fengjieae	2819978	S	10	2	12	0.00035
Cellulomonas xiejunii	2968083	S	10	4	14	0.00041
Cellulomonas wangsupingiae	2968085	S	10	6	16	0.00047
Actinotalea sp. JY-7876	2758442	S	29	8	37	0.00108
Georgenia wutianyii	2585135	S	112	26	138	0.00404
Georgenia sp. TF02-10	2917725	S	43	16	59	0.00173
Georgenia yuyongxinii	2589797	S	30	4	34	0.00099
Georgenia faecalis	2483799	S	13	2	15	0.00044
Cellulosimicrobium cellulans	1710	S	32	40	72	0.00211
Isoptericola dokdonensis	372663	S	10	3	13	0.00038
Isoptericola sp. AK164	3024246	S	10	3	13	0.00038
Xylanimonas protaetiae	2509457	S	11	5	16	0.00047
Brevibacterium sp. CS2	2575923	S	15	24	39	0.00114
Barrientosiimonas endolithica	1535208	S	20	15	35	0.00102
Yimella sp. cx-51	2770551	S	10	1	11	0.00032
