name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	14199	1478	15677	0.50881
Malassezia restricta	76775	S	33	4	37	0.00120
Marasmius oreades	181124	S	10	6	16	0.00052
Babesia bigemina	5866	S	3856	185	4041	0.13115
Kocuria flava	446860	S	386	105	491	0.01594
Kocuria rosea	1275	S	169	24	193	0.00626
Kocuria sp. KD4	2719588	S	48	45	93	0.00302
Kocuria indica	1049583	S	47	57	104	0.00338
Kocuria palustris	71999	S	45	11	56	0.00182
Kocuria turfanensis	388357	S	37	7	44	0.00143
Kocuria rhizophila	72000	S	21	21	42	0.00136
Kocuria varians	1272	S	16	7	23	0.00075
Micrococcus luteus	1270	S	41	83	124	0.00402
Micrococcus porci	2856555	S	35	16	51	0.00166
Micrococcus terreus	574650	S	28	6	34	0.00110
Micrococcus lylae	1273	S	17	3	20	0.00065
Rothia mucilaginosa	43675	S	15	1	16	0.00052
Ornithinimicrobium flavum	1288636	S	80	19	99	0.00321
Ornithinimicrobium sp. HY006	2508882	S	59	13	72	0.00234
Ornithinimicrobium avium	2283195	S	26	3	29	0.00094
Ornithinimicrobium pratense	2593973	S	22	3	25	0.00081
Serinicoccus profundi	1078471	S	21	5	26	0.00084
Serinicoccus marinus	247333	S	20	9	29	0.00094
Serinicoccus chungangensis	767452	S	11	2	13	0.00042
Brachybacterium sp. GU-2	3069708	S	28	38	66	0.00214
Brachybacterium sp. P6-10-X1	1903186	S	11	3	14	0.00045
Brachybacterium sp. Z12	2759167	S	11	5	16	0.00052
Brevibacterium sp. CS2	2575923	S	12	9	21	0.00068
Janibacter sp. DB-40	3028808	S	11	4	15	0.00049
Georgenia wutianyii	2585135	S	25	5	30	0.00097
Bifidobacterium longum	216816	S	470	480	950	0.03083
Bifidobacterium breve	1685	S	77	8	85	0.00276
Bifidobacterium bifidum	1681	S	53	22	75	0.00243
Bifidobacterium pseudolongum	1694	S	49	5	54	0.00175
Bifidobacterium pseudocatenulatum	28026	S	25	3	28	0.00091
Bifidobacterium catenulatum	1686	S	24	4	28	0.00091
Corynebacterium efficiens	152794	S	190	26	216	0.00701
Corynebacterium xerosis	1725	S	30	11	41	0.00133
Corynebacterium tuberculostearicum	38304	S	29	13	42	0.00136
Corynebacterium maris	575200	S	24	2	26	0.00084
Corynebacterium suedekumii	3049801	S	18	5	23	0.00075
Corynebacterium stationis	1705	S	12	2	14	0.00045
Corynebacterium humireducens	1223514	S	12	1	13	0.00042
Mycolicibacterium doricum	126673	S	16	15	31	0.00101
Dietzia kunjamensis	322509	S	42	23	65	0.00211
Dietzia sp. oral taxon 368	712270	S	32	16	48	0.00156
Dietzia lutea	546160	S	20	4	24	0.00078
Cutibacterium acnes	1747	S	345	45	390	0.01266
Tessaracoccus flavus	1610493	S	39	17	56	0.00182
Nocardioides sp. S-34	3095075	S	11	16	27	0.00088
Nocardioides sp. S5	2017486	S	11	25	36	0.00117
Nocardioides sp. LMS-CY	2840457	S	10	10	20	0.00065
Nocardioides okcheonensis	2894081	S	11	18	29	0.00094
Actinoplanes sp. L3-i22	2836373	S	12	9	21	0.00068
Actinoplanes sichuanensis	512349	S	25	7	32	0.00104
Actinoplanes missouriensis	1866	S	10	5	15	0.00049
Couchioplanes caeruleus	56438	S	16	8	24	0.00078
Saccharomonospora glauca	40990	S	12	8	20	0.00065
Thermobifida fusca	2021	S	11	0	11	0.00036
Schaalia odontolytica	1660	S	11	4	15	0.00049
Collinsella aerofaciens	74426	S	47	7	54	0.00175
Parafannyhessea umbonata	604330	S	13	3	16	0.00052
Clostridium botulinum	1491	S	3530	108	3638	0.11807
Blautia obeum	40520	S	10	17	27	0.00088
Mediterraneibacter gnavus	33038	S	13	15	28	0.00091
Chordicoccus furentiruminis	2709410	S	19	1	20	0.00065
Anaerostipes hadrus	649756	S	11	5	16	0.00052
Agathobacter rectalis	39491	S	13	7	20	0.00065
Anaerobutyricum hallii	39488	S	10	7	17	0.00055
Faecalibacterium prausnitzii	853	S	84	57	141	0.00458
Vescimonas coprocola	2714355	S	10	5	15	0.00049
Flavonifractor plautii	292800	S	11	1	12	0.00039
Dysosmobacter welbionis	2093857	S	10	6	16	0.00052
Romboutsia sp. 13368	2708053	S	22	5	27	0.00088
Romboutsia ilealis	1115758	S	16	3	19	0.00062
Staphylococcus hominis	1290	S	88	52	140	0.00454
Staphylococcus epidermidis	1282	S	36	19	55	0.00179
Staphylococcus saprophyticus	29385	S	13	6	19	0.00062
Staphylococcus capitis	29388	S	11	9	20	0.00065
Salinicoccus halodurans	407035	S	15	1	16	0.00052
Priestia flexa	86664	S	12	22	34	0.00110
Pradoshia sp. D12	2651284	S	11	3	14	0.00045
Exiguobacterium mexicanum	340146	S	77	24	101	0.00328
Exiguobacterium aurantiacum	33987	S	25	8	33	0.00107
Exiguobacterium profundum	307643	S	18	15	33	0.00107
Planococcus plakortidis	1038856	S	15	9	24	0.00078
Jeotgalibacillus malaysiensis	1508404	S	10	0	10	0.00032
Gemella haemolysans	1379	S	15	1	16	0.00052
Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006	3077584	S	10	9	19	0.00062
Streptococcus mitis	28037	S	28	33	61	0.00198
Streptococcus pneumoniae	1313	S	15	15	30	0.00097
Streptococcus equinus	1335	S	15	15	30	0.00097
Streptococcus salivarius	1304	S	11	11	22	0.00071
Lactococcus cremoris	1359	S	11	11	22	0.00071
Aerococcus urinaeequi	51665	S	114	45	159	0.00516
Aerococcus viridans	1377	S	36	24	60	0.00195
Globicatella sp. PHS-GS-PNBC-21-1553	2885764	S	11	4	15	0.00049
Desemzia incerta	82801	S	118	43	161	0.00523
Lactobacillus crispatus	47770	S	16	6	22	0.00071
Lactobacillus iners	147802	S	13	4	17	0.00055
Weissella confusa	1583	S	11	1	12	0.00039
Veillonella rogosae	423477	S	21	6	27	0.00088
Megasphaera massiliensis	1232428	S	15	1	16	0.00052
Escherichia coli	562	S	17	298	315	0.01022
Pseudomonas putida	303	S	13	58	71	0.00230
Stutzerimonas stutzeri	316	S	20	26	46	0.00149
Acinetobacter indicus	756892	S	39	29	68	0.00221
Acinetobacter schindleri	108981	S	15	14	29	0.00094
Acinetobacter variabilis	70346	S	10	27	37	0.00120
Moraxella osloensis	34062	S	37	7	44	0.00143
Vibrio furnissii	29494	S	98	24	122	0.00396
Halomonas tianxiuensis	2497861	S	15	18	33	0.00107
Haemophilus parainfluenzae	729	S	40	10	50	0.00162
Cellvibrio sp. KY-GH-1	2303332	S	14	3	17	0.00055
Paracoccus sp. MC1862	2760307	S	28	16	44	0.00143
Paracoccus sp. AK26	2589076	S	16	15	31	0.00101
Brevundimonas sp. MF30-B	2561924	S	27	28	55	0.00179
Prevotella melaninogenica	28132	S	69	16	85	0.00276
Prevotella sp. oral taxon 299	652716	S	16	1	17	0.00055
Segatella copri	165179	S	71	10	81	0.00263
Bacteroides fragilis	817	S	21	26	47	0.00153
Alistipes finegoldii	214856	S	15	9	24	0.00078
Alkaliflexus sp. Ai-910	2949635	S	15	3	18	0.00058
Methanosarcina mazei	2209	S	12	1	13	0.00042
Methanosarcina thermophila	2210	S	11	0	11	0.00036
Methanobrevibacter sp. YE315	1609968	S	22	2	24	0.00078
Methanobrevibacter olleyae	294671	S	17	2	19	0.00062
Methanobrevibacter millerae	230361	S	16	1	17	0.00055
Methanobrevibacter ruminantium	83816	S	15	1	16	0.00052
Varicellovirus bovinealpha1	3050243	S	173	16	189	0.00613
