name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Kocuria flava	446860	S	2737	566	3303	0.09558
Kocuria rosea	1275	S	1782	198	1980	0.05730
Kocuria turfanensis	388357	S	277	41	318	0.00920
Kocuria sp. KD4	2719588	S	213	129	342	0.00990
Kocuria palustris	71999	S	153	31	184	0.00532
Kocuria indica	1049583	S	132	109	241	0.00697
Kocuria rhizophila	72000	S	52	34	86	0.00249
Kocuria varians	1272	S	33	12	45	0.00130
Micrococcus luteus	1270	S	352	453	805	0.02330
Micrococcus porci	2856555	S	300	100	400	0.01158
Micrococcus terreus	574650	S	152	27	179	0.00518
Micrococcus lylae	1273	S	145	22	167	0.00483
Micrococcus yunnanensis	566027	S	15	78	93	0.00269
Arthrobacter sp. NEB 688	904039	S	28	6	34	0.00098
Arthrobacter sp. QXT-31	1357915	S	10	34	44	0.00127
Arthrobacter agilis	37921	S	17	16	33	0.00095
Arthrobacter crystallopoietes	37928	S	13	10	23	0.00067
Citricoccus sp. SGAir0253	2567881	S	118	19	137	0.00396
Citricoccus sp. I39-566	3073268	S	52	16	68	0.00197
Rothia kristinae	37923	S	15	6	21	0.00061
Ornithinimicrobium sp. HY006	2508882	S	1225	199	1424	0.04121
Ornithinimicrobium sp. HY1793	2934158	S	42	2	44	0.00127
Ornithinimicrobium flavum	1288636	S	770	126	896	0.02593
Ornithinimicrobium pratense	2593973	S	416	52	468	0.01354
Ornithinimicrobium avium	2283195	S	233	24	257	0.00744
Ornithinimicrobium ciconiae	2594265	S	57	4	61	0.00177
Ornithinimicrobium cryptoxanthini	2934161	S	48	3	51	0.00148
Serinicoccus profundi	1078471	S	144	26	170	0.00492
Serinicoccus marinus	247333	S	139	44	183	0.00530
Serinicoccus chungangensis	767452	S	125	21	146	0.00423
Serinicoccus hydrothermalis	1758689	S	88	26	114	0.00330
Microbacterium testaceum	2033	S	13	40	53	0.00153
Microbacterium aurum	36805	S	12	28	40	0.00116
Microbacterium esteraromaticum	57043	S	12	16	28	0.00081
Microbacterium protaetiae	2509458	S	12	6	18	0.00052
Microbacterium oryzae	743009	S	10	9	19	0.00055
Agrococcus sp. Marseille-Q4369	2810513	S	71	44	115	0.00333
Agrococcus sp. SCSIO52902	2933290	S	14	12	26	0.00075
Agrococcus sp. SL85	2995141	S	13	10	23	0.00067
Agrococcus carbonis	684552	S	14	10	24	0.00069
Agromyces protaetiae	2509455	S	13	9	22	0.00064
Agromyces flavus	589382	S	10	9	19	0.00055
Leucobacter tenebrionis	2873270	S	11	7	18	0.00052
Gulosibacter sediminis	1729695	S	12	7	19	0.00055
Georgenia wutianyii	2585135	S	353	58	411	0.01189
Georgenia sp. TF02-10	2917725	S	67	17	84	0.00243
Georgenia faecalis	2483799	S	46	5	51	0.00148
Georgenia yuyongxinii	2589797	S	37	3	40	0.00116
Brachybacterium sp. GU-2	3069708	S	112	73	185	0.00535
Brachybacterium sp. Z12	2759167	S	36	5	41	0.00119
Brachybacterium sp. P6-10-X1	1903186	S	27	2	29	0.00084
Brachybacterium sp. NBEC-018	2996004	S	18	29	47	0.00136
Brachybacterium saurashtrense	556288	S	47	10	57	0.00165
Brachybacterium faecium	43669	S	28	7	35	0.00101
Brachybacterium ginsengisoli	1331682	S	26	6	32	0.00093
Brachybacterium vulturis	2017484	S	26	8	34	0.00098
Brachybacterium huguangmaarense	1652028	S	25	8	33	0.00095
Brachybacterium avium	2017485	S	19	6	25	0.00072
Brachybacterium halotolerans	2795215	S	13	15	28	0.00081
Cellulomonas sp. ATA003	3073064	S	27	5	32	0.00093
Cellulomonas sp. NS3	2973977	S	18	4	22	0.00064
Cellulomonas sp. JZ18	2654191	S	15	6	21	0.00061
Cellulomonas sp. S1-8	2904790	S	11	3	14	0.00041
Cellulomonas sp. Y8	2591145	S	10	7	17	0.00049
Cellulomonas fimi	1708	S	22	9	31	0.00090
Cellulomonas flavigena	1711	S	18	5	23	0.00067
Cellulomonas fengjieae	2819978	S	15	2	17	0.00049
Cellulomonas gilvus	11	S	12	3	15	0.00043
Cellulomonas iranensis	76862	S	10	3	13	0.00038
Cellulomonas shaoxiangyii	2566013	S	10	2	12	0.00035
Cellulomonas wangleii	2816956	S	10	5	15	0.00043
Cellulomonas wangsupingiae	2968085	S	10	5	15	0.00043
Actinotalea sp. JY-7876	2758442	S	21	4	25	0.00072
Paraoerskovia marina	545619	S	13	1	14	0.00041
Pseudactinotalea sp. HY158	2654547	S	14	0	14	0.00041
Janibacter sp. DB-40	3028808	S	45	11	56	0.00162
Janibacter sp. CX7	2963431	S	21	6	27	0.00078
Janibacter sp. YB324	2761047	S	10	17	27	0.00078
Janibacter melonis	262209	S	34	5	39	0.00113
Janibacter limosus	53458	S	25	3	28	0.00081
Janibacter indicus	857417	S	20	23	43	0.00124
Janibacter cremeus	1285192	S	17	4	21	0.00061
Phycicoccus endophyticus	1690220	S	14	2	16	0.00046
Phycicoccus sp. HDW14	2714941	S	11	2	13	0.00038
Pedococcus dokdonensis	443156	S	21	2	23	0.00067
Arsenicicoccus sp. oral taxon 190	1658671	S	18	3	21	0.00061
Tetrasphaera sp. HKS02	1813880	S	16	1	17	0.00049
Intrasporangium calvum	53358	S	13	1	14	0.00041
Brevibacterium sp. CS2	2575923	S	42	12	54	0.00156
Brevibacterium luteolum	199591	S	13	4	17	0.00049
Brevibacterium casei	33889	S	11	19	30	0.00087
Cellulosimicrobium cellulans	1710	S	19	32	51	0.00148
Isoptericola sp. AK164	3024246	S	16	2	18	0.00052
Isoptericola dokdonensis	372663	S	11	2	13	0.00038
Isoptericola variabilis	139208	S	10	3	13	0.00038
Xylanimonas allomyrinae	2509459	S	13	1	14	0.00041
Dermacoccus nishinomiyaensis	1274	S	14	5	19	0.00055
Barrientosiimonas endolithica	1535208	S	20	8	28	0.00081
Luteipulveratus mongoliensis	571913	S	12	0	12	0.00035
Ruania zhangjianzhongii	2603206	S	14	3	17	0.00049
Occultella kanbiaonis	2675754	S	14	0	14	0.00041
Jonesia denitrificans	43674	S	39	3	42	0.00122
Gephyromycinifex aptenodytis	2716227	S	19	0	19	0.00055
Sanguibacter sp. HDW7	2714931	S	14	3	17	0.00049
Beutenbergia cavernae	84757	S	15	1	16	0.00046
Miniimonas sp. S16	2171623	S	13	5	18	0.00052
Demequina sediminis	1930058	S	14	2	16	0.00046
Kytococcus sedentarius	1276	S	22	3	25	0.00072
Luteimicrobium xylanilyticum	1133546	S	10	1	11	0.00032
