name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Massilia sp. LPB0304	2769491	S	113	55	168	0.00695
Massilia sp. H6	2970464	S	69	24	93	0.00385
Massilia sp. WG5	1707785	S	61	41	102	0.00422
Massilia sp. R2A-15	3064278	S	49	24	73	0.00302
Massilia sp. DM-R-R2A-13	2899220	S	41	13	54	0.00223
Massilia sp. REN29	3068633	S	41	28	69	0.00285
Massilia sp. PAMC28688	2861283	S	35	9	44	0.00182
Massilia sp. NP310	2861282	S	34	47	81	0.00335
Massilia sp. YMA4	1593482	S	30	28	58	0.00240
Massilia sp. erpn	2738142	S	18	71	89	0.00368
Massilia varians	457921	S	295	128	423	0.01750
Massilia violaceinigra	2045208	S	48	17	65	0.00269
Massilia forsythiae	2728020	S	41	18	59	0.00244
Massilia oculi	945844	S	30	26	56	0.00232
Massilia putida	1141883	S	29	16	45	0.00186
Massilia antarctica	2765360	S	17	7	24	0.00099
Pseudoduganella aquatica	2660641	S	46	19	65	0.00269
Pseudoduganella umbonata	864828	S	29	10	39	0.00161
Pseudoduganella flava	871742	S	27	7	34	0.00141
Pseudoduganella plicata	321984	S	22	7	29	0.00120
Pseudoduganella lutea	321985	S	21	6	27	0.00112
Pseudoduganella armeniaca	2072590	S	19	14	33	0.00136
Pseudoduganella chitinolytica	34070	S	17	8	25	0.00103
Pseudoduganella albidiflava	321983	S	12	16	28	0.00116
Pseudoduganella sp. SL102	2995154	S	12	16	28	0.00116
Telluria mixta	34071	S	80	32	112	0.00463
Duganella dendranthematis	2728021	S	26	6	32	0.00132
Duganella zoogloeoides	75659	S	20	6	26	0.00108
Rugamonas sp. DEMB1	3039386	S	44	22	66	0.00273
Herbaspirillum sp. WKF16	3028312	S	41	23	64	0.00265
Herbaspirillum sp. meg3	2025949	S	27	3	30	0.00124
Herbaspirillum hiltneri	341045	S	52	10	62	0.00256
Herbaspirillum rubrisubalbicans	80842	S	39	17	56	0.00232
Herbaspirillum robiniae	2014887	S	38	22	60	0.00248
Herbaspirillum huttiense	863372	S	37	25	62	0.00256
Herbaspirillum seropedicae	964	S	31	17	48	0.00199
Herbaspirillum frisingense	92645	S	28	13	41	0.00170
Noviherbaspirillum sp. UKPF54	2601898	S	325	60	385	0.01592
Janthinobacterium sp. 17J80-10	2497863	S	85	17	102	0.00422
Janthinobacterium sp. J1-1	3065910	S	25	21	46	0.00190
Janthinobacterium sp. Marseille	375286	S	19	8	27	0.00112
Janthinobacterium agaricidamnosum	55508	S	38	44	82	0.00339
Collimonas fungivorans	158899	S	58	15	73	0.00302
Collimonas arenae	279058	S	46	8	54	0.00223
Collimonas pratensis	279113	S	34	9	43	0.00178
Actimicrobium sp. CCC2.4	3048606	S	35	6	41	0.00170
Undibacterium sp. CCC3.4	3048609	S	11	7	18	0.00074
Herminiimonas arsenitoxidans	1809410	S	12	4	16	0.00066
Diaphorobacter nitroreducens	164759	S	334	438	772	0.03193
Diaphorobacter sp. C33	3060154	S	61	158	219	0.00906
Diaphorobacter sp. ED-3	3016636	S	38	366	404	0.01671
Diaphorobacter sp. MNS-0	2866628	S	23	131	154	0.00637
Diaphorobacter sp. JS3050	2735554	S	21	220	241	0.00997
Diaphorobacter sp. JS3051	2792224	S	17	362	379	0.01568
Diaphorobacter sp. HDW4A	2714924	S	11	18	29	0.00120
Diaphorobacter sp. HDW4B	2714925	S	10	0	10	0.00041
[Acidovorax] ebreus	721785	S	34	103	137	0.00567
Variovorax sp. RA8	662548	S	17	30	47	0.00194
Variovorax sp. HW608	1034889	S	15	2	17	0.00070
Variovorax sp. WDL1	207745	S	12	42	54	0.00223
Variovorax sp. PAMC26660	2762322	S	12	3	15	0.00062
Variovorax sp. PBS-H4	434008	S	10	12	22	0.00091
Variovorax sp. PAMC 28711	1795631	S	10	1	11	0.00045
Variovorax paradoxus	34073	S	111	78	189	0.00782
Variovorax boronicumulans	436515	S	35	30	65	0.00269
Hydrogenophaga sp. BPS33	2651974	S	22	35	57	0.00236
Hydrogenophaga sp. PBC	795665	S	14	16	30	0.00124
Hydrogenophaga sp. RAC07	1842537	S	13	4	17	0.00070
Hydrogenophaga sp. SNF1	3098762	S	13	25	38	0.00157
Hydrogenophaga sp. SL48	2806347	S	11	5	16	0.00066
uncultured Hydrogenophaga sp.	199683	S	20	7	27	0.00112
Hydrogenophaga crocea	2716225	S	11	11	22	0.00091
