name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Kocuria flava	446860	S	834	192	1026	0.02896
Kocuria rosea	1275	S	662	79	741	0.02091
Kocuria sp. KD4	2719588	S	170	98	268	0.00756
Kocuria turfanensis	388357	S	170	27	197	0.00556
Kocuria palustris	71999	S	114	26	140	0.00395
Kocuria indica	1049583	S	114	93	207	0.00584
Kocuria rhizophila	72000	S	42	26	68	0.00192
Kocuria varians	1272	S	20	8	28	0.00079
Micrococcus porci	2856555	S	202	78	280	0.00790
Micrococcus luteus	1270	S	182	305	487	0.01374
Micrococcus terreus	574650	S	74	16	90	0.00254
Micrococcus lylae	1273	S	67	12	79	0.00223
Arthrobacter sp. NEB 688	904039	S	11	19	30	0.00085
Arthrobacter agilis	37921	S	11	8	19	0.00054
Arthrobacter crystallopoietes	37928	S	11	7	18	0.00051
Citricoccus sp. SGAir0253	2567881	S	57	11	68	0.00192
Citricoccus sp. I39-566	3073268	S	28	11	39	0.00110
Rothia mucilaginosa	43675	S	24	1	25	0.00071
Glutamicibacter creatinolyticus	162496	S	12	6	18	0.00051
Ornithinimicrobium flavum	1288636	S	263	43	306	0.00864
Ornithinimicrobium sp. HY006	2508882	S	168	27	195	0.00550
Ornithinimicrobium sp. HY1793	2934158	S	16	1	17	0.00048
Ornithinimicrobium avium	2283195	S	108	12	120	0.00339
Ornithinimicrobium pratense	2593973	S	47	6	53	0.00150
Ornithinimicrobium ciconiae	2594265	S	25	1	26	0.00073
Ornithinimicrobium cryptoxanthini	2934161	S	20	1	21	0.00059
Serinicoccus profundi	1078471	S	74	14	88	0.00248
Serinicoccus hydrothermalis	1758689	S	56	18	74	0.00209
Serinicoccus chungangensis	767452	S	51	9	60	0.00169
Serinicoccus marinus	247333	S	48	17	65	0.00183
Microbacterium oryzae	743009	S	13	64	77	0.00217
Agrococcus sp. Marseille-Q4369	2810513	S	49	36	85	0.00240
Agrococcus sp. REN33	3068634	S	14	14	28	0.00079
Agrococcus sp. SCSIO52902	2933290	S	12	12	24	0.00068
Agrococcus carbonis	684552	S	12	10	22	0.00062
Brachybacterium sp. GU-2	3069708	S	94	78	172	0.00485
Brachybacterium sp. P6-10-X1	1903186	S	16	2	18	0.00051
Brachybacterium sp. Z12	2759167	S	14	3	17	0.00048
Brachybacterium ginsengisoli	1331682	S	17	4	21	0.00059
Brachybacterium saurashtrense	556288	S	15	3	18	0.00051
Brachybacterium faecium	43669	S	11	3	14	0.00040
Brachybacterium vulturis	2017484	S	11	3	14	0.00040
Brachybacterium huguangmaarense	1652028	S	10	3	13	0.00037
Janibacter sp. DB-40	3028808	S	41	14	55	0.00155
Janibacter sp. CX7	2963431	S	13	4	17	0.00048
Janibacter melonis	262209	S	36	6	42	0.00119
Janibacter limosus	53458	S	20	3	23	0.00065
Janibacter cremeus	1285192	S	15	5	20	0.00056
Janibacter indicus	857417	S	10	16	26	0.00073
Phycicoccus endophyticus	1690220	S	14	3	17	0.00048
Phycicoccus sp. HDW14	2714941	S	12	3	15	0.00042
Arsenicicoccus sp. oral taxon 190	1658671	S	12	2	14	0.00040
Intrasporangium calvum	53358	S	10	1	11	0.00031
Tetrasphaera sp. HKS02	1813880	S	10	1	11	0.00031
Cellulomonas sp. ATA003	3073064	S	21	8	29	0.00082
Cellulomonas sp. NS3	2973977	S	10	7	17	0.00048
Cellulomonas fimi	1708	S	13	34	47	0.00133
Actinotalea sp. JY-7876	2758442	S	18	3	21	0.00059
Georgenia wutianyii	2585135	S	98	16	114	0.00322
Georgenia faecalis	2483799	S	25	3	28	0.00079
Georgenia sp. TF02-10	2917725	S	24	6	30	0.00085
Georgenia yuyongxinii	2589797	S	15	1	16	0.00045
Brevibacterium sp. CS2	2575923	S	26	9	35	0.00099
Brevibacterium casei	33889	S	10	17	27	0.00076
Cellulosimicrobium cellulans	1710	S	12	16	28	0.00079
Dermacoccus nishinomiyaensis	1274	S	18	5	23	0.00065
Kytococcus sedentarius	1276	S	17	3	20	0.00056
Gephyromycinifex aptenodytis	2716227	S	10	0	10	0.00028
Bifidobacterium longum	216816	S	1182	903	2085	0.05885
Bifidobacterium breve	1685	S	269	28	297	0.00838
Bifidobacterium bifidum	1681	S	145	54	199	0.00562
Bifidobacterium pseudocatenulatum	28026	S	63	5	68	0.00192
Bifidobacterium catenulatum	1686	S	40	4	44	0.00124
Bifidobacterium pseudolongum	1694	S	30	3	33	0.00093
Bifidobacterium adolescentis	1680	S	12	1	13	0.00037
Nocardioides sp. HDW12B	2714939	S	41	9	50	0.00141
Nocardioides sp. zg-1228	2763008	S	31	11	42	0.00119
Nocardioides sp. S-34	3095075	S	29	10	39	0.00110
Nocardioides sp. S5	2017486	S	25	13	38	0.00107
Nocardioides sp. JS614	196162	S	24	34	58	0.00164
Nocardioides sp. LMS-CY	2840457	S	24	6	30	0.00085
Nocardioides sp. Arc9.136	2996826	S	23	12	35	0.00099
Nocardioides sp. W7	2931390	S	22	6	28	0.00079
Nocardioides sp. CF8	110319	S	22	12	34	0.00096
Nocardioides sp. cx-173	2898796	S	19	5	24	0.00068
Nocardioides sp. InS609-2	2760705	S	18	2	20	0.00056
Nocardioides sp. TF02-7	2917724	S	18	5	23	0.00065
Nocardioides sp. S-1144	2582905	S	14	4	18	0.00051
Nocardioides sp. HM61	3095076	S	14	2	16	0.00045
Nocardioides sp. dk884	2662361	S	13	18	31	0.00087
Nocardioides sp. JQ2195	2592334	S	12	1	13	0.00037
Nocardioides sp. B-3	2895565	S	12	1	13	0.00037
Nocardioides mesophilus	433659	S	38	8	46	0.00130
Nocardioides campestrisoli	2736757	S	36	11	47	0.00133
Nocardioides daphniae	402297	S	33	16	49	0.00138
Nocardioides panacis	2849501	S	31	7	38	0.00107
Nocardioides jishulii	2575440	S	30	11	41	0.00116
Nocardioides anomalus	2712223	S	24	6	30	0.00085
Nocardioides marmotae	2663857	S	23	14	37	0.00104
Nocardioides rotundus	1774216	S	22	8	30	0.00085
Nocardioides scoriae	642780	S	21	6	27	0.00076
Nocardioides okcheonensis	2894081	S	20	10	30	0.00085
Nocardioides seonyuensis	2518371	S	20	5	25	0.00071
Nocardioides panacisoli	627624	S	20	3	23	0.00065
Nocardioides ungokensis	1643322	S	18	6	24	0.00068
Nocardioides houyundeii	2045452	S	17	4	21	0.00059
Nocardioides marinisabuli	419476	S	17	10	27	0.00076
Nocardioides piscis	2714938	S	15	9	24	0.00068
Nocardioides aquaticus	160826	S	15	4	19	0.00054
Nocardioides dokdonensis	450734	S	15	8	23	0.00065
Nocardioides euryhalodurans	2518370	S	14	3	17	0.00048
Nocardioides cynanchi	2558918	S	14	2	16	0.00045
Nocardioides dongkuii	2760089	S	13	6	19	0.00054
Nocardioides coralli	2872154	S	13	2	15	0.00042
Nocardioides pantholopis	2483798	S	12	5	17	0.00048
Nocardioides aromaticivorans	200618	S	12	5	17	0.00048
Nocardioides marmorisolisilvae	1542737	S	11	2	13	0.00037
Aeromicrobium sp. HA	3009077	S	12	10	22	0.00062
Micropruina glycogenica	75385	S	22	2	24	0.00068
Pimelobacter simplex	2045	S	18	7	25	0.00071
Friedmanniella luteola	546871	S	11	1	12	0.00034
Tessaracoccus flavus	1610493	S	138	48	186	0.00525
Tessaracoccus sp. MC1865	2760310	S	18	2	20	0.00056
Tessaracoccus aquimaris	1332264	S	15	5	20	0.00056
Tessaracoccus defluvii	1285901	S	12	4	16	0.00045
Cutibacterium acnes	1747	S	164	13	177	0.00500
Propioniciclava sp. MC1595	2760308	S	69	21	90	0.00254
Propioniciclava coleopterorum	2714937	S	29	15	44	0.00124
Microlunatus sagamiharensis	546874	S	12	1	13	0.00037
Microlunatus phosphovorus	29405	S	10	0	10	0.00028
Brooklawnia sp. SH051	3041175	S	11	2	13	0.00037
Corynebacterium efficiens	152794	S	204	28	232	0.00655
Corynebacterium xerosis	1725	S	78	27	105	0.00296
Corynebacterium maris	575200	S	54	4	58	0.00164
Corynebacterium stationis	1705	S	30	6	36	0.00102
Corynebacterium sp. SCR221107	3017361	S	20	5	25	0.00071
Corynebacterium humireducens	1223514	S	25	3	28	0.00079
Corynebacterium hansenii	394964	S	22	5	27	0.00076
Corynebacterium halotolerans	225326	S	21	2	23	0.00065
Corynebacterium suedekumii	3049801	S	19	5	24	0.00068
Corynebacterium guangdongense	1783348	S	17	1	18	0.00051
Corynebacterium freneyi	134034	S	16	5	21	0.00059
Corynebacterium faecale	1758466	S	15	5	20	0.00056
Corynebacterium marinum	349751	S	10	4	14	0.00040
Corynebacterium camporealensis	161896	S	10	1	11	0.00031
Dietzia sp. oral taxon 368	712270	S	124	37	161	0.00454
Dietzia sp. B32	2915130	S	24	3	27	0.00076
Dietzia kunjamensis	322509	S	137	51	188	0.00531
Dietzia lutea	546160	S	102	12	114	0.00322
Rhodococcus rhodochrous	1829	S	11	88	99	0.00279
Nocardia asteroides	1824	S	14	5	19	0.00054
Nocardia farcinica	37329	S	11	7	18	0.00051
Streptomyces venezuelae	54571	S	11	248	259	0.00731
Pseudonocardia sp. DSM 110487	2865833	S	10	34	44	0.00124
Geodermatophilus obscurus	1861	S	47	11	58	0.00164
Geodermatophilus sp. DSM 44513	1528104	S	22	5	27	0.00076
Blastococcus saxobsidens	138336	S	31	5	36	0.00102
Blastococcus sp. PRF04-17	2933797	S	30	6	36	0.00102
Modestobacter marinus	477641	S	21	4	25	0.00071
Modestobacter sp. L9-4	2851567	S	14	2	16	0.00045
Schaalia odontolytica	1660	S	16	5	21	0.00059
Jiangella sp. DSM 45060	1798224	S	10	0	10	0.00028
Collinsella aerofaciens	74426	S	59	9	68	0.00192
Parafannyhessea umbonata	604330	S	12	3	15	0.00042
Eggerthella lenta	84112	S	18	1	19	0.00054
Iamia sp. SCSIO 61187	2722752	S	12	2	14	0.00040
Actinomarinicola tropica	2789776	S	20	2	22	0.00062
Aquihabitans sp. G128	2849779	S	14	1	15	0.00042
Capillimicrobium parvum	2884022	S	11	5	16	0.00045
Rubrobacter tropicus	2653851	S	13	0	13	0.00037
Clostridium botulinum	1491	S	2427	56	2483	0.07008
