name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Clostridium perfringens	1502	S	23	4	27	0.00076
Faecalibacterium prausnitzii	853	S	112	39	151	0.00426
Flavonifractor plautii	292800	S	27	2	29	0.00082
Blautia wexlerae	418240	S	21	9	30	0.00085
Blautia hansenii	1322	S	11	2	13	0.00037
Mediterraneibacter gnavus	33038	S	29	7	36	0.00102
Anaerostipes hadrus	649756	S	20	2	22	0.00062
Chordicoccus furentiruminis	2709410	S	10	0	10	0.00028
Romboutsia sp. 13368	2708053	S	25	4	29	0.00082
Romboutsia ilealis	1115758	S	17	2	19	0.00054
Romboutsia hominis	1507512	S	10	0	10	0.00028
Peptacetobacter hiranonis	89152	S	12	0	12	0.00034
Mesobacillus jeotgali	129985	S	49	28	77	0.00217
Priestia megaterium	1404	S	15	19	34	0.00096
Domibacillus sp. DTU_2020_1001157_1_SI_ALB_TIR_016	3077789	S	12	3	15	0.00042
Exiguobacterium mexicanum	340146	S	167	25	192	0.00542
Exiguobacterium aurantiacum	33987	S	65	11	76	0.00214
Exiguobacterium alkaliphilum	1428684	S	44	4	48	0.00135
Exiguobacterium profundum	307643	S	39	12	51	0.00144
Exiguobacterium sp. PFWT01	2829816	S	11	7	18	0.00051
Exiguobacterium sp. AT1b	360911	S	10	6	16	0.00045
Staphylococcus hominis	1290	S	35	13	48	0.00135
Staphylococcus epidermidis	1282	S	34	11	45	0.00127
Staphylococcus cohnii	29382	S	30	17	47	0.00133
Staphylococcus arlettae	29378	S	16	4	20	0.00056
Staphylococcus haemolyticus	1283	S	11	4	15	0.00042
Salinicoccus halodurans	407035	S	21	1	22	0.00062
Jeotgalicoccus sp. WY2	2708346	S	11	2	13	0.00037
Mammaliicoccus sciuri	1296	S	13	2	15	0.00042
Planococcus sp. 107-1	2908840	S	22	3	25	0.00071
Planococcus sp. MB-3u-03	2058136	S	18	10	28	0.00079
Planococcus plakortidis	1038856	S	36	9	45	0.00127
Planococcus halotolerans	2233542	S	18	1	19	0.00054
Planococcus glaciei	459472	S	10	3	13	0.00037
Jeotgalibacillus malaysiensis	1508404	S	10	0	10	0.00028
Thermoactinomyces vulgaris	2026	S	17	0	17	0.00048
Streptococcus parasuis	1501662	S	30	40	70	0.00198
Lactobacillus crispatus	47770	S	18	4	22	0.00062
Lactobacillus amylovorus	1604	S	17	8	25	0.00071
Weissella confusa	1583	S	17	2	19	0.00054
Ligilactobacillus salivarius	1624	S	10	1	11	0.00031
Aerococcus urinaeequi	51665	S	40	11	51	0.00144
Aerococcus viridans	1377	S	12	6	18	0.00051
Globicatella sp. PHS-GS-PNBC-21-1553	2885764	S	27	7	34	0.00096
Desemzia incerta	82801	S	44	11	55	0.00155
Megasphaera massiliensis	1232428	S	20	1	21	0.00059
Megasphaera elsdenii	907	S	12	1	13	0.00037
Megamonas funiformis	437897	S	20	0	20	0.00056
Catenibacterium sp. co_0103	2478954	S	23	4	27	0.00076
Deinococcus sp. NW-56	2080419	S	325	15	340	0.00960
Deinococcus wulumuqiensis	980427	S	41	6	47	0.00133
Deinococcus ficus	317577	S	17	0	17	0.00048
Deinococcus metallilatus	1211322	S	16	0	16	0.00045
Chroococcidiopsis thermalis	54299	S	13	20	33	0.00093
Stanieria cyanosphaera	102116	S	21	1	22	0.00062
Paracoccus sp. MC1862	2760307	S	226	15	241	0.00680
Paracoccus sp. AK26	2589076	S	90	19	109	0.00308
Paracoccus sp. S3-43	3030011	S	29	17	46	0.00130
Paracoccus sp. M09	3064531	S	27	11	38	0.00107
Paracoccus sp. Arc7-R13	2500532	S	16	18	34	0.00096
Paracoccus sanguinis	1545044	S	55	14	69	0.00195
Paracoccus yeei	147645	S	50	78	128	0.00361
Paracoccus marcusii	59779	S	37	26	63	0.00178
Paracoccus contaminans	1945662	S	28	5	33	0.00093
Paracoccus suum	2259340	S	12	3	15	0.00042
Paracoccus aestuarii	453842	S	11	1	12	0.00034
Paracoccus stylophorae	659350	S	11	5	16	0.00045
Paracoccus aminovorans	34004	S	10	2	12	0.00034
Paracoccus zhejiangensis	1077935	S	10	3	13	0.00037
Rhodobacter sp. CZR27	2033869	S	10	1	11	0.00031
Cereibacter sphaeroides	1063	S	10	2	12	0.00034
Pseudorhizobium flavum	1335061	S	33	39	72	0.00203
Pseudorhizobium banfieldiae	1125847	S	20	31	51	0.00144
Microvirga sp. VF16	2807101	S	14	6	20	0.00056
Microvirga lotononidis	864069	S	18	15	33	0.00093
Microvirga ossetica	1882682	S	12	6	18	0.00051
Microvirga terrae	2740529	S	12	8	20	0.00056
Phenylobacterium zucineum	284016	S	12	3	15	0.00042
Acinetobacter indicus	756892	S	184	47	231	0.00652
Acinetobacter schindleri	108981	S	79	24	103	0.00291
Acinetobacter variabilis	70346	S	53	41	94	0.00265
Acinetobacter baumannii	470	S	11	35	46	0.00130
Acinetobacter johnsonii	40214	S	11	4	15	0.00042
Moraxella osloensis	34062	S	77	14	91	0.00257
Lysobacter sp. TY2-98	2290922	S	18	32	50	0.00141
Luteimonas sp. JM171	1896164	S	13	8	21	0.00059
Stenotrophomonas maltophilia	40324	S	15	42	57	0.00161
Pseudoxanthomonas suwonensis	314722	S	20	14	34	0.00096
Pseudoxanthomonas mexicana	128785	S	10	18	28	0.00079
Pseudomonas alcaligenes	43263	S	10	4	14	0.00040
Pseudomonas putida	303	S	10	77	87	0.00246
Stutzerimonas stutzeri	316	S	32	16	48	0.00135
Stutzerimonas frequens	2968969	S	23	18	41	0.00116
Stutzerimonas balearica	74829	S	18	9	27	0.00076
Escherichia coli	562	S	25	1162	1187	0.03350
Vibrio furnissii	29494	S	122	18	140	0.00395
Variovorax paradoxus	34073	S	12	17	29	0.00082
Comamonas aquatica	225991	S	12	30	42	0.00119
Ramlibacter tataouinensis	94132	S	20	25	45	0.00127
Massilia varians	457921	S	18	29	47	0.00133
Sutterella wadsworthensis	40545	S	23	2	25	0.00071
Thauera sp. GDN1	2944810	S	11	15	26	0.00073
Thauera humireducens	1134435	S	10	7	17	0.00048
Conchiformibius steedae	153493	S	10	2	12	0.00034
Bacteroides fragilis	817	S	46	29	75	0.00212
Phocaeicola vulgatus	821	S	18	7	25	0.00071
Segatella copri	165179	S	94	12	106	0.00299
Porphyromonas cangingivalis	36874	S	16	1	17	0.00048
Chryseobacterium sp.	1871047	S	10	4	14	0.00040
Chryseobacterium sp. 6424	2039166	S	10	8	18	0.00051
Cloacibacterium caeni	2004710	S	23	6	29	0.00082
Cloacibacterium normanense	237258	S	10	1	11	0.00031
Pontibacter kalidii	2592049	S	24	2	26	0.00073
Pontibacter actiniarum	323450	S	15	1	16	0.00045
Pontibacter russatus	2694929	S	15	0	15	0.00042
Pontibacter pudoricolor	2694930	S	15	1	16	0.00045
Pseudocnuella soli	2502779	S	20	0	20	0.00056
Gemmatirosa kalamazoonensis	861299	S	14	0	14	0.00040
Pyxidicoccus parkwaysis	2813578	S	22	5	27	0.00076
Archangium gephyra	48	S	12	1	13	0.00037
Archangium violaceum	83451	S	11	0	11	0.00031
Sorangium cellulosum	56	S	10	4	14	0.00040
Nannocystis poenicansa	2995304	S	12	0	12	0.00034
Haliangium ochraceum	80816	S	10	0	10	0.00028
Homo sapiens	9606	S	9142	891	10033	0.28316
Aspergillus oryzae	5062	S	21	44	65	0.00183
Aspergillus luchuensis	1069201	S	57	6	63	0.00178
Talaromyces marneffei	37727	S	11	0	11	0.00031
Ascochyta rabiei	5454	S	34	3	37	0.00104
Cercospora beticola	122368	S	10	0	10	0.00028
Malassezia restricta	76775	S	35	3	38	0.00107
Babesia bigemina	5866	S	3141	141	3282	0.09263
Methanobrevibacter sp. YE315	1609968	S	18	1	19	0.00054
Methanobrevibacter millerae	230361	S	14	1	15	0.00042
Methanobrevibacter ruminantium	83816	S	11	0	11	0.00031
Varicellovirus bovinealpha1	3050243	S	272	12	284	0.00802
